"indicator_id","dimension_list","timeframe","numeric_value","missing_value_flag","confidence_interval_low","confidence_interval_high","standard_error","locale","locale_level","locale_state_fips_code","locale_county_fips_code","locale_county_ssa_code","locale_hrr_code","total","age","sex","race_ethnicity","income_and_poverty_status","educational_attainment","health_insurance_status","sexual_orientation","marital_status","family_type","veteran_status","country_of_birth","disability_status","obesity_status","characteristic_of_school_or_student","other","geography","modifier1","modifier2","modifier3","modifier4","modifier5","numerator","denominator"
"318808803","Total","2012","DSU","DSU",,,,"Utah - Garfield","County","49","49017",,,"Total",,,,,,,,,,,,,,,,,,,,,,,"5095"
"318763264","Total","2010-2012","DSU","DSU",,,,"Utah - Garfield","County","49","49017",,,"Total",,,,,,,,,,,,,,,,,,,,,,,"15411"
"318763263","Total (Age-adjusted)","2010-2012","DSU","DSU",,,,"Utah - Garfield","County","49","49017",,,"Total",,,,,,,,,,,,,,,,,"Age-adjusted",,,,,,
"318763265","Aged <18 years","2010-2012","DSU","DSU",,,,"Utah - Garfield","County","49","49017",,,,"Aged <18 years",,,,,,,,,,,,,,,,,,,,,,"4102"
"318763276","Aged 18-44 years","2010-2012","DSU","DSU",,,,"Utah - Garfield","County","49","49017",,,,"Aged 18-44 years",,,,,,,,,,,,,,,,,,,,,,"4427"
"318763287","Aged 45-64 years","2010-2012","DSU","DSU",,,,"Utah - Garfield","County","49","49017",,,,"Aged 45-64 years",,,,,,,,,,,,,,,,,,,,,,"4306"
"318763298","Aged 65 years and over","2010-2012","DSU","DSU",,,,"Utah - Garfield","County","49","49017",,,,"Aged 65 years and over",,,,,,,,,,,,,,,,,,,,,,"2576"
"318763266","Aged <18 years; Male","2010-2012","DSU","DSU",,,,"Utah - Garfield","County","49","49017",,,,"Aged <18 years","Male",,,,,,,,,,,,,,,,,,,,,"2201"
"318763277","Aged 18-44 years; Male","2010-2012","DSU","DSU",,,,"Utah - Garfield","County","49","49017",,,,"Aged 18-44 years","Male",,,,,,,,,,,,,,,,,,,,,"2330"
"318763288","Aged 45-64 years; Male","2010-2012","DSU","DSU",,,,"Utah - Garfield","County","49","49017",,,,"Aged 45-64 years","Male",,,,,,,,,,,,,,,,,,,,,"2205"
"318763299","Aged 65 years and over; Male","2010-2012","DSU","DSU",,,,"Utah - Garfield","County","49","49017",,,,"Aged 65 years and over","Male",,,,,,,,,,,,,,,,,,,,,"1266"
"318763267","Aged <18 years; Female","2010-2012","DSU","DSU",,,,"Utah - Garfield","County","49","49017",,,,"Aged <18 years","Female",,,,,,,,,,,,,,,,,,,,,"1901"
"318763278","Aged 18-44 years; Female","2010-2012","DSU","DSU",,,,"Utah - Garfield","County","49","49017",,,,"Aged 18-44 years","Female",,,,,,,,,,,,,,,,,,,,,"2097"
"318763289","Aged 45-64 years; Female","2010-2012","DSU","DSU",,,,"Utah - Garfield","County","49","49017",,,,"Aged 45-64 years","Female",,,,,,,,,,,,,,,,,,,,,"2101"
