"audience","collection","type","format","count"
"Adult","Fiction","eAudio","Digital","398"
"Adult","Nonfiction","eAudio","Digital","88"
"Juvenile","Fiction","eAudio","Digital","89"
"Juvenile","Nonfiction","eAudio","Digital","7"
"Adult","Fiction","eBook","Digital","623"
"Adult","Nonfiction","eBook","Digital","146"
"Juvenile","Fiction","eBook","Digital","145"
"Juvenile","Nonfiction","eBook","Digital","14"
"Teen","Fiction","eBook","Digital","122"
"Teen","Nonfiction","eBook","Digital","3"
"Adult","Fiction","Book","Physical","2492"
"Adult","Large Print Fiction","Book","Physical","246"
"Adult","Large Print Nonfiction","Book","Physical","0"
"Adult","Nonfiction","Book","Physical","2192"
"Adult","Graphic Novels","Book","Physical","117"
"Juvenile","Picture Book","Book","Physical","2951"
"Juvenile","Board Books","Book","Physical","386"
"Juvenile","Fiction","Book","Physical","1385"
"Juvenile","Nonfiction","Book","Physical","1370"
"Juvenile","Easy Nonfiction","Book","Physical","148"
"Juvenile","Graphic Novels","Book","Physical","344"
"Teen","Fiction","Book","Physical","270"
"Teen","Nonfiction","Book","Physical","36"
"Teen","Graphic Novels","Book","Physical","101"
"Adult","Serials","Other","Physical","307"
"Adult","Book Kits","Other","Physical","2"
"Adult","Devices","Other","Physical","0"
"Adult","Gov Docs","Other","Physical","0"
"Juvenile","Bagged Collections","Other","Physical","0"
"Teen","Serials","Other","Physical","6"
"Juvenile","DVD","DVD","Audio/Visual","335"
"Juvenile","Audiobook","CD","Audio/Visual","99"
"Adult","DVD","DVD","Audio/Visual","975"
"Teen","Audiobook","CD","Audio/Visual","7"
"Juvenile","Music","CD","Audio/Visual","33"
"Adult","Music","CD","Audio/Visual","87"
"Adult","Audiobook","CD","Audio/Visual","370"
