"performance_indicator","fiscal_year","actual","target","proximity","status"
"Percent of stocks for which catch is below the specified Annual Catch Limit","2014-09-30T00:00:00.000","0.91","0.78","1.17","Exceeded"
"Percent of stocks for which catch is below the specified Annual Catch Limit","2015-09-30T00:00:00.000","0.897","0.795","1.13","Exceeded"
"Percent of stocks for which catch is below the specified Annual Catch Limit","2016-09-30T00:00:00.000","0.907","0.81","1.12","Exceeded"
"Percent of stocks for which catch is below the specified Annual Catch Limit","2017-09-30T00:00:00.000","0.919","0.82","1.12","Exceeded"
"Percent of stocks for which catch is below the specified Annual Catch Limit","2018-09-30T00:00:00.000","0.902","0.83","1.09","Exceeded"
"Percent of stocks for which catch is below the specified Annual Catch Limit","2019-09-30T00:00:00.000","0.883","0.84","1.05","Exceeded"
"Percent of stocks for which catch is below the specified Annual Catch Limit","2020-09-30T00:00:00.000","0.893","0.897","1","Met"
"Percent of stocks for which catch is below the specified Annual Catch Limit","2021-09-30T00:00:00.000","0.904","0.894","1.01","Exceeded"
"Percent of stocks for which catch is below the specified Annual Catch Limit","2022-09-30T00:00:00.000",,"0.903",,
"Percent of stocks for which catch is below the specified Annual Catch Limit","2023-09-30T00:00:00.000",,"0.913",,
