"bureau","fiscal_year","total_indicators","status","order","count"
"National Technical Information Service","2014-09-30T00:00:00.000","3","Exceeded","3","1"
"National Technical Information Service","2014-09-30T00:00:00.000","3","Met","2","1"
"National Technical Information Service","2014-09-30T00:00:00.000","3","Not Met","1","1"
"National Technical Information Service","2015-09-30T00:00:00.000","3","Exceeded","3","1"
"National Technical Information Service","2015-09-30T00:00:00.000","3","Met","2","1"
"National Technical Information Service","2015-09-30T00:00:00.000","3","Not Met","1","0"
"National Technical Information Service","2016-09-30T00:00:00.000","3","Exceeded","3","1"
"National Technical Information Service","2016-09-30T00:00:00.000","3","Met","2","0"
"National Technical Information Service","2016-09-30T00:00:00.000","3","Not Met","1","2"
"National Technical Information Service","2017-09-30T00:00:00.000","3","Exceeded","3","0"
"National Technical Information Service","2017-09-30T00:00:00.000","3","Met","2","1"
"National Technical Information Service","2017-09-30T00:00:00.000","3","Not Met","1","2"
"National Technical Information Service","2018-09-30T00:00:00.000","4","Exceeded","3","3"
"National Technical Information Service","2018-09-30T00:00:00.000","4","Met","2","0"
"National Technical Information Service","2018-09-30T00:00:00.000","4","Not Met","1","1"
"National Technical Information Service","2019-09-30T00:00:00.000","3","Exceeded","3","2"
"National Technical Information Service","2019-09-30T00:00:00.000","3","Met","2","0"
"National Technical Information Service","2019-09-30T00:00:00.000","3","Not Met","1","1"
"National Technical Information Service","2020-09-30T00:00:00.000","3","Exceeded","3","2"
"National Technical Information Service","2020-09-30T00:00:00.000","3","Met","2","0"
"National Technical Information Service","2020-09-30T00:00:00.000","3","Not Met","1","1"
"National Technical Information Service","2021-09-30T00:00:00.000","3","Exceeded","3","2"
"National Technical Information Service","2021-09-30T00:00:00.000","3","Met","2","1"
"National Technical Information Service","2021-09-30T00:00:00.000","3","Not Met","1","0"
