"performance_indicator","fiscal_year","actual","target","proximity","status"
"Key milestones completed on time for aircraft acquisitions","2014-09-30T00:00:00.000",,,,
"Key milestones completed on time for aircraft acquisitions","2015-09-30T00:00:00.000",,,,
"Key milestones completed on time for aircraft acquisitions","2016-09-30T00:00:00.000",,,,
"Key milestones completed on time for aircraft acquisitions","2017-09-30T00:00:00.000",,,,
"Key milestones completed on time for aircraft acquisitions","2018-09-30T00:00:00.000",,,,
"Key milestones completed on time for aircraft acquisitions","2019-09-30T00:00:00.000","2","2","1","Met"
"Key milestones completed on time for aircraft acquisitions","2020-09-30T00:00:00.000","1","2","0.5","No Met"
"Key milestones completed on time for aircraft acquisitions","2021-09-30T00:00:00.000","2","2","1","Met"
"Key milestones completed on time for aircraft acquisitions","2022-09-30T00:00:00.000",,"1",,
"Key milestones completed on time for aircraft acquisitions","2023-09-30T00:00:00.000",,"0",,
