"date_time","fiscal_year","revenue_category","revenue","revenue_amount","expense_category","expense","expense_amount"
"2016-07-01T00:00:00.000","2017","Local Sales Tax","51.7","33183778","Public Safety","47.4","30402315"
"2016-07-01T00:00:00.000","2017","Property Tax","9.2","5873793","Community & Economic Development","13.4","8574325"
"2016-07-01T00:00:00.000","2017","State Shared Taxes","17.4","11148733","Streets","10.6","6818717"
"2016-07-01T00:00:00.000","2017","Alcohol Taxes","6.1","3888565","Finance & Administration","8.5","5462056"
"2016-07-01T00:00:00.000","2017","Building Permits","4.3","2741289","Governance & Management","7.2","4649889"
"2016-07-01T00:00:00.000","2017","Grants","2.9","1828300","Parks","6.8","4348433"
"2016-07-01T00:00:00.000","2017","In Lieu of Taxes ","0.4","271369","Other","4.6","2928258"
"2016-07-01T00:00:00.000","2017","Interest Income","0.3","217582","Transfers","1.5","963956"
"2016-07-01T00:00:00.000","2017","Other","3","1896716",,,
"2016-07-01T00:00:00.000","2017","Franchise Fees","4","2536790",,,
"2016-07-01T00:00:00.000","2017","Court Fines & Fees","0.9","560935",,,
