"date_time","fiscal_year","revenue_category","revenue","revenue_amount","expense_category","expense","expense_amount"
"2015-07-01T00:00:00.000","2016","Franchise Fees","4.2","2511230",,,
"2015-07-01T00:00:00.000","2016","Court Fines & Fees","1.2","720572",,,
"2015-07-01T00:00:00.000","2016","Other","1.8","1084605",,,
"2015-07-01T00:00:00.000","2016","Local Sales Tax","51.3","30744210","Public Safety","48.8","29237029"
"2015-07-01T00:00:00.000","2016","Building Permits & Licenses","3.9","2315577","Governance & Management","7.5","4519083"
"2015-07-01T00:00:00.000","2016","Alcohol Taxes","6","3601389","Finance & Administration","8.7","5203956"
"2015-07-01T00:00:00.000","2016","Property Tax","8.8","5263794","Community & Economic Development","13.6","8127121"
"2015-07-01T00:00:00.000","2016","Grants","3.3","1968546","Parks","6.9","4151962"
"2015-07-01T00:00:00.000","2016","State Shared Taxes","18.7","11172496","Streets","10.4","6207433"
"2015-07-01T00:00:00.000","2016","In Lieu of Taxes","0.5","306131","Other","3.2","1896191"
"2015-07-01T00:00:00.000","2016","Interest Income","0.3","197802","Transfers","0.9","543569"
