Case Number,Police Agency Code,Offense,Date/Time Reported,Hour Reported,Date/Time Occurred,Hour Occurred,Date/Time Found,Hour Found,Street Number,Street Direction,Street Name,Apartment/Floor,city,state,zip,geox,geoy,Reported As,Tract Code,Tract Description,Zone Code,Zone Description,District Code,District Description,Reporting Area Code,Reporting Area Description,Neighborhood Code,Neighborhood Description,Subdivision Code,Subdivision Description,Weather Code,Weather Description,Location Code,Location Description,Forcible,Weapon Code,Weapon Description,Incident Disposition Code,Incident Disposition Descr.,location,Beats,Neighborhoods
2019002285,JCPD,AGG ASSAULT/ AGG BATTERY-GUN,05/23/2019 01:03:00 PM,1303,05/22/2019 08:00:00 PM,2000,05/23/2019 01:03:00 PM,1303,112XX,,ROTHERICK DR,,JOHNS CREEK,GA,30022,34.053050994873,-84.2250823974609,DOMESTIC DISPUT,,,3,JOHNS CREEK 3,JCN,JOHNS CREEK PD NORTH DISTRICT,,,,,HUFR,HUNTER`S FOREST,,,20,RESIDENCE / HOME,N,03,HANDGUN,,,"(34.053050994873, -84.2250823974609)",4,54
2013003862,JCPD,AGG ASSAULT/ AGG BATTERY-GUN,10/05/2013 10:01:32 PM,2201,10/05/2013 10:01:31 PM,2201,10/05/2013 10:01:32 PM,2201,60XX,,STATE BRIDGE RD,535,JOHNS CREEK,GA,30022,34.0134353637695,-84.1876373291016,ARMED PERSON,,,4,JOHNS CREEK 4,JCN,JOHNS CREEK PD NORTH DISTRICT,,,,,,,,,26,APARTMENT,N,03,HANDGUN,D,VICTIM REFUSED TO COOPERATE,"(34.0134353637695, -84.1876373291016)",3,
2018003951,JCPD,AGG ASSAULT/ AGG BATTERY-GUN,08/31/2018 03:52:15 PM,1552,08/31/2018 03:52:14 PM,1552,08/31/2018 03:52:15 PM,1552,30XX,,OLD ALABAMA RD,,JOHNS CREEK,GA,30022,34.0216445922852,-84.2740173339844,ARMED PERSON,,,7,JOHNS CREEK 7,JCS,JOHNS CREEK PD SOUTH DISTRICT,,,,,,,,,18,PARKING LOT /GARAGE,N,03,HANDGUN,,,"(34.0216445922852, -84.2740173339844)",7,
2021002824,JCPD,AGG ASSAULT/ AGG BATTERY-GUN,08/10/2021 01:10:00 PM,1310,08/10/2021 01:00:59 PM,1300,08/10/2021 01:10:00 PM,1310,55XX,,ABBOTTS BRIDGE RD,,JOHNS CREEK,GA,30097,34.0519638061523,-84.1993103027344,DEMENTED PERSON,,,3,JOHNS CREEK 3,JCN,JOHNS CREEK PD NORTH DISTRICT,,,,,,,1,CLEAR,,,,,,A,DEATH OF OFFENDER,"(34.0519638061523, -84.1993103027344)",4,
2013003337,JCPD,AGG ASSAULT/ AGG BATTERY-GUN,08/29/2013 02:54:19 AM,0254,08/29/2013 02:54:18 AM,0254,08/29/2013 02:54:19 AM,0254,109XX,,WILLOW MEADOW CIR,,JOHNS CREEK,GA,30022,34.0383148193359,-84.2402496337891,ARMED PERSON,,,5,JOHNS CREEK 5,JCS,JOHNS CREEK PD SOUTH DISTRICT,,,,,WLRU,WILLOW RUN,,,13,HIGHWAY /ROAD /ALLEY,N,03,HANDGUN,,,"(34.0383148193359, -84.2402496337891)",5,244
2018002943,JCPD,AGG ASSAULT/ AGG BATTERY-GUN,06/30/2018 10:01:09 PM,2201,06/30/2018 10:01:08 PM,2201,06/30/2018 10:01:09 PM,2201,110XX,,PENNBROOKE CRSG,,JOHNS CREEK,GA,30097,34.0481796264648,-84.1477127075195,ARMED PERSON,,,2,JOHNS CREEK 2,JCN,JOHNS CREEK PD NORTH DISTRICT,,,,,AMBL,AMBERLEIGH,,,13,HIGHWAY /ROAD /ALLEY,N,03,HANDGUN,,,"(34.0481796264648, -84.1477127075195)",2,16
2021004298,JCPD,AGG ASSAULT/ AGG BATTERY-GUN,11/15/2021 05:10:00 PM,1710,11/15/2021 05:09:59 PM,1709,11/15/2021 05:10:00 PM,1710,,,STATE BRIDGE RD/MEDLOCK BRIDGE RD,,JOHNS CREEK,GA,30097,34.016731262207,-84.1924667358398,ARMED PERSON,,,4,JOHNS CREEK 4,JCN,JOHNS CREEK PD NORTH DISTRICT,,,,,,,1,CLEAR,,,,,,,,"(34.016731262207, -84.1924667358398)",5,
2012004437,JCPD,AGG ASSAULT/ AGG BATTERY-GUN,12/10/2012 03:46:43 PM,1546,12/10/2012 03:46:42 PM,1546,12/10/2012 03:46:43 PM,1546,101XX,,OLD WOODLAND ENTRY,,JOHNS CREEK,GA,30022,34.0264472961426,-84.2694244384766,ARMED PERSON,,,7,JOHNS CREEK 7,JCS,JOHNS CREEK PD SOUTH DISTRICT,,,,,WDHL,WOODLAND HILLS,,,20,RESIDENCE / HOME,N,03,HANDGUN,,,"(34.0264472961426, -84.2694244384766)",7,
2021001584,JCPD,AGG ASSAULT/ AGG BATTERY-GUN,05/12/2021 01:42:00 PM,1342,05/12/2021 01:41:59 PM,1341,05/12/2021 01:42:00 PM,1342,118XX,,DOUGLAS RD,,JOHNS CREEK,GA,30005,34.0691223144531,-84.2080917358398,DIRECTED PATROL,,,1,JOHNS CREEK 1,JCN,JOHNS CREEK PD NORTH DISTRICT,,,,,WNVI,WINDWARD VILLAGE,2,CLOUDY,,,,,,,,"(34.0691223144531, -84.2080917358398)",1,
2014000441,JCPD,AGG ASSAULT/ AGG BATTERY-GUN,02/03/2014 07:41:29 PM,1941,02/03/2014 07:41:28 PM,1941,02/03/2014 07:41:29 PM,1941,1XX,,FORREST LAKE RD,,JOHNS CREEK,GA,30022,34.010425567627,-84.2017593383789,PERSON SHOT,,,5,JOHNS CREEK 5,JCS,JOHNS CREEK PD SOUTH DISTRICT,,,,,FORR,FORREST LAKE,,,13,HIGHWAY /ROAD /ALLEY,N,03,HANDGUN,,,"(34.010425567627, -84.2017593383789)",6,185
