"project_industry","company_name","application_number","tax_year","status","actual_jobs_created","actual_jobs_retained","capital_investment_reported","city"
"Aerospace","Advanced Integrated Tooling Solutions, LP","616","2010","Approved","131",,"4973953","Chesterfield Township"
"Aerospace","Advanced Integrated Tooling Solutions, LP","616","2011","Approved","207",,"5107259","Chesterfield Township"
"Aerospace","Advanced Integrated Tooling Solutions, LP","616","2012","Approved","234",,"1060540","Chesterfield Township"
"Aerospace","Advanced Integrated Tooling Solutions, LP","616","2013","Approved","237",,"493933","Chesterfield Township"
"Aerospace","Advanced Integrated Tooling Solutions, LP","616","2014","Approved","200",,"1837150","Chesterfield Township"
"Aerospace","Johnson Technology, Inc.","549","2010","Did Not Qualify","40",,,"Muskegon"
"Aerospace","Johnson Technology, Inc.","549","2011","Approved","83",,"33252193","Muskegon"
"Aerospace","Models & Tools, Inc.","508","2010","Approved","52",,"3263425","Shelby Township"
"Aerospace","Models & Tools, Inc.","508","2011","Approved","70",,"3388661","Shelby Township"
"Aerospace","Skilled Aerospace Division","604","2010","Approved","16",,"3377224","Traverse City"
"Aerospace","Skilled Aerospace Division","604","2011","Approved","26",,"1092180","Traverse City"
"Alternative Energy - Advanced Energy Storage","A123 Systems, LLC","566","2010","Approved","186",,"156155136","Romulus"
"Alternative Energy - Advanced Energy Storage","A123 Systems, LLC","566","2011","Approved","471",,"38190021","Romulus"
"Alternative Energy - Advanced Energy Storage","A123 Systems, LLC","566","2012","Approved","511",,"10028300","Romulus"
"Alternative Energy - Advanced Energy Storage","ALTe","622","2011","Approved","20",,"2343842","Auburn Hills"
"Alternative Energy - Advanced Energy Storage","ALTe","622","2012","Approved","27",,"127177","Auburn Hills"
"Alternative Energy - Advanced Energy Storage","General Motors Subsystems Mfg LLC","521","2011","Did Not Qualify",,"72",,"Detroit"
"Alternative Energy - Advanced Energy Storage","General Motors Subsystems Mfg LLC","521","2012","Approved",,"100","40041585","Detroit"
"Alternative Energy - Advanced Energy Storage","General Motors Subsystems Mfg LLC","521","2013","Did Not Qualify",,"78",,"Detroit"
"Alternative Energy - Advanced Energy Storage","LG Chem Michigan, Inc.","569","2013","Approved","34",,"291525403","Holland"
"Alternative Energy - Advanced Energy Storage","LG Chem Michigan, Inc.","569","2014","Approved","75",,"2058679","Holland"
"Alternative Energy - Advanced Energy Storage","Magna Electronics","598","2011","Approved","115",,,"Holly"
"Alternative Energy - Advanced Energy Storage","Magna Electronics","598","2012","Approved","50",,,"Holly"
