"project_industry","company_name","application_number","tax_year","status","actual_jobs_created","actual_jobs_retained","capital_investment_reported","location_1"
"Alt. Energy - Other","United Solar Ovonic Corporation","288","2008","Approved","247","-","-","
Auburn Hills,  
(42.672504, -83.225448)"
"Automotive - Manufacturing","Changan US Research and Development Center, Inc","726","2016","Approved","44","-","-","
Plymouth,  
(41.95575, -70.664394)"
"Automotive - Manufacturing","Faurecia Interior Systems Inc.","277","2008","Approved","271","-","-","
Fraser,  
(42.542226, -82.94983)"
"Automotive - Manufacturing","Hyundai America Technical Center, Inc.","213","2015","Approved","126","-","$33,414,546","
Superior Township,  
(42.303179, -83.603236)"
"Alt. Energy - Other","United Solar Ovonic Corporation","288","2006","Approved","139","-","-","
Auburn Hills,  
(42.672504, -83.225448)"
"Alt. Energy - Advanced Energy Storage","LG Chem Michigan, Inc.","569","2013","Approved","34","-","$291,525,403","
Holland,  
(42.751561, -86.096297)"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","2015","Did Not Qualify","52","-","-","
Escanaba,  
(45.745727, -87.071273)"
"Automotive - Manufacturing","Chrysler Group LLC","356","2009","Approved","45","-","-","
Auburn Hills,  
(42.672504, -83.225448)"
"Automotive - Manufacturing","Delphi Corporation","106","2004","Approved","600","-","-","
Troy,  
(42.727684, -73.691059)"
"Automotive - Manufacturing","Auto Alliance International, Inc.","180","2005","Approved","-","1,961","-","
Flat Rock,  
(42.089873, -83.286219)"
"Automotive - Manufacturing","Chrysler LLC","273","2008.2","Approved","-","3,420","-","
Sterling Heights,  
(42.58968, -83.011059)"
"Automotive - Manufacturing","Asama Coldwater Manufacturing, Inc.","19","2000","Approved","272","-","-","
Coldwater,  
(41.940611, -85.000721)"
"Automotive - Manufacturing","Gestamp Mason, LLC.","33","2002","Approved","150","-","-","
Mason,  
(30.749797, -99.23192)"
"Automotive - Manufacturing","Acument Global Technologies","714","2012","Approved","93","-","$2,289,722","
Sterling Heights,  
(42.58968, -83.011059)"
"Alt. Energy - Other","Sakti3, Inc.","416","2009","Approved","8","-","$3,590,542","
Ann Arbor,  
(42.281419, -83.748478)"
"Automotive - Manufacturing","Auto Alliance International, Inc.","180","2006","Approved","1,121","-","-","
Flat Rock,  
(42.089873, -83.286219)"
"Automotive - Manufacturing","Faurecia Interior Systems Inc.","277","2011","Approved","445","-","$5,940,069","
Fraser,  
(42.542226, -82.94983)"
"Automotive - Manufacturing","Brose North America, Inc.","187","2007","Approved","157","-","-","
Auburn Hills,  
(42.672504, -83.225448)"
"Automotive - Manufacturing","Delphi Corporation","106","2002","Approved","600","-","-","
Troy,  
(42.727684, -73.691059)"
"Automotive - Manufacturing","Gibbs Technologies, Limited","434","2009","Approved","59","-","-","
Auburn Hills,  
(42.672504, -83.225448)"
"Automotive - Manufacturing","Delphi Corporation","364","2014","Approved","-","1,101","-","
Troy,  
(42.727684, -73.691059)"
"Automotive - Manufacturing","Inalfa Roof Systems","201","2005","Approved","146","-","-","
Holly,  
(42.791893, -83.627648)"
"Automotive - Manufacturing","General Motors LLC","264","2008","Approved","-","2,862","-","
Flint,  
(43.00992, -83.685109)"
"Automotive - Manufacturing","Lear Corporation","605","2011","Approved","201","-","-","
Roscommon,  
(44.49835, -84.591968)"
"Automotive - Manufacturing","Hyundai America Technical Center, Inc.","213","2016","Approved","138","-","$31,762,368","
Superior Township,  
(42.303179, -83.603236)"
"Automotive - Manufacturing","General Motors LLC","227","2009.1","Approved","-","603","-","
Warren,  
(42.52144, -83.020184)"
"Alt. Energy - Wind","Ventower Industries, LLC","509","2015","Approved","142","-","-","
Monroe,  
(32.500759, -92.111225)"
"Automotive - Manufacturing","Federal-Mogul Products, Inc.","265","2011","Approved","-","1,400","-","
Southfield,  
(42.477952, -83.240756)"
"Automotive - Manufacturing","HP Enterprise Services, LLC","191","2009.1","Approved","-","850","-","
Ypsilanti,  
(42.239806, -83.614543)"
"Automotive - Manufacturing","Hi-Lex Controls, Inc.","28","2002","Approved","197","-","-","
Litchfield,  
(41.746861, -73.189234)"
"Automotive - Manufacturing","General Motors LLC","186","2009.2","Approved","-","1,334","-","
Lake Orion,  
(42.784602, -83.242443)"
"Automotive - Manufacturing","Detroit Diesel Corporation","657","2012","Approved","-","1,522","$50,827,848","
Detroit,  
(42.332916, -83.047853)"
"Automotive - Manufacturing","Gibbs Technologies, Limited","434","2012.1","Approved","61","-","$504,120","
Auburn Hills,  
(42.672504, -83.225448)"
