"the_geom","dirprefix","dirsuffix","fullname","functclass","leftfrom","leftto","maxaddress","minaddress","name","objectid","oddside","ownership","rightfrom","rightto","streetid","streetstat","typeprefix","typesuffix"
"MULTILINESTRING ((-85.31844732566621 35.040284932727545, -85.31866308216657 35.04036419271348, -85.31886365310008 35.040442047358354, -85.31909446787996 35.0405262836522, -85.31910295866474 35.040529630816756, -85.31929497401208 35.04060532440266))","W",,"W Main St","Urban Minor Arterial","700.0","748.0","749.0","700.0","Main","9414.0","R","Chattanooga","701.0","749.0","2944.0",,,"St"
"MULTILINESTRING ((-85.31929497401208 35.04060532440266, -85.31932925428573 35.040618837895046, -85.3194994189364 35.04068209450954, -85.31969677965371 35.04076437930121, -85.31986254749602 35.04084576932139))","W",,"W Main St","Urban Minor Arterial","750.0","800.0","800.0","750.0","Main","5538.0","R","Chattanooga","751.0","799.0","2944.0",,,"St"
"MULTILINESTRING ((-85.32092321442865 35.03779342166098, -85.32121717240508 35.037701442506936, -85.32124859982468 35.03769417641951, -85.32128041716176 35.037688230572485, -85.32131258934739 35.0376836061721, -85.32134498532328 35.03768032990016, -85.3213571052255 35.0376796014582, -85.32137753606618 35.03767837322991, -85.3214101769954 35.037677789245386, -85.32144277236702 35.037678551852856, -85.32145723752977 35.037679488877075, -85.32147532303786 35.037680661057145, -85.32150769477244 35.03768411468631, -85.32153978837032 35.037688913581476, -85.32163091197438 35.03771679654314, -85.3254893 35.0391701))","W",,"W 19th St","Local Street","900.0","948.0","949.0","900.0","19th","2480.0","R","Chattanooga","901.0","949.0","4995.0",,,"St"
"MULTILINESTRING ((-85.31591307360422 35.0393106282873, -85.31629420559942 35.03945722414234, -85.3163968890449 35.0394967190463, -85.31716296463968 35.039791370096395, -85.31717432207547 35.039795080587034, -85.3172814528186 35.039830079994324, -85.31750537512677 35.03991985999633, -85.31756622626 35.03994838758542, -85.31756738870192 35.03994855531277, -85.31757413357285 35.039949531522694, -85.31781003852629 35.04004027077671))","W",,"W Main St","Urban Minor Arterial","634.0","668.0","669.0","634.0","Main","10261.0","R","Chattanooga","635.0","669.0","2944.0",,,"St"
"MULTILINESTRING ((-85.31821488872035 35.04019600316112, -85.31824038528501 35.040205887436834, -85.31844732566621 35.040284932727545))","W",,"W Main St","Urban Minor Arterial","690.0","698.0","699.0","690.0","Main","3310.0","R","Chattanooga","691.0","699.0","2944.0",,,"St"
"MULTILINESTRING ((-85.31781003852629 35.04004027077671, -85.31799249738243 35.04011045250366, -85.31804580845046 35.04013045667916, -85.31821488872035 35.04019600316112))","W",,"W Main St","Urban Minor Arterial","670.0","688.0","689.0","670.0","Main","9078.0","R","Chattanooga","671.0","689.0","2944.0",,,"St"
"MULTILINESTRING ((-85.3215654 35.0255785, -85.3213561 35.0258242, -85.3212042 35.0259855, -85.3210804 35.0261622, -85.3210372 35.0262543, -85.320904 35.0264417, -85.3207896 35.0265953, -85.3205533 35.0268841, -85.3203094 35.0271882, -85.3202269 35.027328, -85.3201369 35.0275338, -85.3200919 35.0277289, -85.3200787 35.027930100000006, -85.32010420000002 35.0281553, -85.3201719 35.0284095))",,,,,,,,,"Tennessee Riverwalk",,,,,,,,,
"MULTILINESTRING ((-85.3201719 35.0284095, -85.3201835 35.0284606, -85.320218 35.0286475))",,,,,,,,,"Tennessee Riverwalk",,,,,,,,,
"MULTILINESTRING ((-85.320579 35.0303798, -85.3206133 35.030409, -85.3206946 35.030427, -85.3207522 35.0304366))",,,,,,,,,"Tennessee Riverwalk",,,,,,,,,
"MULTILINESTRING ((-85.320218 35.0286475, -85.3202311 35.0286986, -85.3202475 35.0289023, -85.3202682 35.0291081, -85.3203113 35.0292356, -85.3203526 35.029357, -85.3203807 35.0295244, -85.3203845 35.0296488, -85.3204029 35.0298152, -85.3204461 35.0299806, -85.3204815 35.0300561, -85.3205408 35.0302133, -85.3205644 35.030308, -85.320579 35.0303798))",,,,,,,,,"Tennessee Riverwalk",,,,,,,,,
