OBJECTID,FILENUM,UOFNum,Address,OCCURRED_D,OCCURRED_T,CURRENT_BA,OffSex,OffRace,HIRE_DT,OFF_INJURE,OffCondTyp,OFF_HOSPIT,SERVICE_TY,ForceType,UOF_REASON,Cycles_Num,ForceEffec,STREET_N,STREET,street_g,street_t,CitNum,CitRace,CitSex,CIT_INJURE,CitCondTyp,CIT_ARREST,CIT_INFL_A,CitChargeT,RA,BEAT,SECTOR,DIVISION,DIST_NAME,TAAG_Name,X,Y,GeoLocation,Council Districts--Test,Dallas City Limits GIS Layer,City Councils,Zip Codes,Counties
609,UF2016-1185,37702,211 N ERVAY ST,09/03/2016,4:14:00 AM,10810,Male,Black,05/07/2014,No, No injuries noted or visible,No,Arrest, Hand/Arm/Elbow Strike,Arrest,NULL, Yes,211,Ervay,N,St.,46424,Black,Female,Yes, Non-Visible Injury/Pain,Yes,Mentally unstable, APOWW,2062,134,130,CENTRAL,D14, ,,,"211 N ERVAY ST
Dallas, TX
(32.782205, -96.797461)",12,3,14,20152,3162
1705,UF2016-0418,33413,7647 FERGUSON RD,03/22/2016,11:00:00 PM,7706,Male,White,01/08/1999,Yes, Sprain/Strain,Yes,Arrest, Joint Locks,Arrest,NULL, Yes,7647,Ferguson,NULL,Rd.,44324,Hispanic,Male,No, No injuries noted or visible,Yes,Mentally unstable, APOWW,1197,237,230,NORTHEAST,D9,Ferguson Highland*,,,"7647 FERGUSON RD
Dallas, TX
(32.798978, -96.717493)",13,3,9,19361,3162
1239,UF2016-0616,34567,716 BIMEBELLA LN,05/22/2016,1:29:00 PM,11014,Male,Black,05/20/2015,No, No injuries noted or visible,No,Arrest, Take Down - Group,Arrest,NULL, Yes,716,bimebella dr,NULL,Ln.,45126,Hispanic,Male,No, No injuries noted or visible,Yes,Unknown, APOWW,4153,432,430,SOUTHWEST,D6, ,,,"716 BIMEBELLA LN
Dallas, TX
(32.73971, -96.92519)",6,3,6,18528,3162
2320,UF2016-1349,31460,5600 L B J FWY,01/10/2016,8:55:00 PM,6692,Male,Black,07/29/1991,No, No injuries noted or visible,No,Arrest, K-9 Deployment,Arrest,NULL, Yes,5600,LBJ,NULL,Frwy.,43150,Hispanic,Male,Yes, Laceration/Cut,Yes,FD-Unknown if Armed, Evading Arrest,4523,641,640,NORTH CENTRAL,D11, ,,,"5600 L B J FWY
Dallas, TX",,,,,
221,UF2016-1303," 37879, 37898",4600 S MALCOLM X BLVD,11/08/2016,2:30:00 AM,9844,Male,White,10/04/2009,No, No injuries noted or visible,No,Arrest," Verbal Command, Take Down - Arm",Arrest,NULL," No, Yes",4600,Malcolm X,S,Blvd.,47307,Black,Male,No, No injuries noted or visible,Yes,Unknown, Other Misdemeanor Arrest,2167,346,340,SOUTHEAST,D7,Hatcher Scyene*,,,"4600 S MALCOLM X BLVD
Dallas, TX",,,,,
549,UF2016-1084,36724,1234 PEAVY RD,09/11/2016,7:20:00 PM,9855,Male,White,06/10/2009,No, No injuries noted or visible,No,Arrest, Hand Controlled Escort,Arrest,NULL, Yes,1234,Peavy,NULL,Rd.,46549,White,Female,No, No injuries noted or visible,Yes,Unknown, Assault/FV,1134,235,230,NORTHEAST,D9, ,,,"1234 PEAVY RD
Dallas, TX
(32.837527, -96.695566)",13,3,9,18924,3162
133,UF2016-1475,38441,511 N AKARD ST,11/26/2016,9:00:00 PM,9881,Male,White,06/10/2009,No, No injuries noted or visible,No,Arrest, Weapon display at Person,Arrest,NULL, Yes,511,Akard,N,St.,47555,Black,Male,No, No injuries noted or visible,Yes,None detected, Assault,2049,132,130,CENTRAL,D14, ,,,"511 N AKARD ST
Dallas, TX
(32.784328, -96.800631)",12,3,14,20152,3162
1761,UF2016-0334,33133,4709 LUCKY LN,03/16/2016,8:00:00 PM,9058,Female,Black,07/04/2007,No, No injuries noted or visible,No,Arrest, Held Suspect Down,Arrest,NULL, Yes,4709,Lucky,NULL,Ln.,44172,White,Female,No, No injuries noted or visible,Yes,Mentally unstable, APOWW,3122,515,510,NORTHWEST,D6, ,,,"4709 LUCKY LN
Dallas, TX
(32.803725, -96.874258)",6,3,6,20162,3162
2014,UF2016-0216,33989,300 S LAMAR ST,02/17/2016,9:25:00 PM,10381,Male,Hispanic,05/09/2012,No, No injuries noted or visible,No,Arrest, BD - Grabbed,Danger to self or others,NULL, Yes,300,Lamar,S,St.,43723,Black,Female,Yes, Abrasion/Scrape,Yes,Mentally unstable, APOWW,2072,133,130,CENTRAL,D14, ,,,"300 S LAMAR ST
Dallas, TX
(32.778107, -96.803839)",12,3,14,20153,3162
19,UF2016-1499," 38840, 38841",18600 DALLAS NORTH TOLLWAY,12/24/2016,8:55:00 AM,9705,Male,White,01/07/2009,No, No injuries noted or visible,No,Arrest," Held Suspect Down, Hand Controlled Escort",Arrest,NULL," Yes, Yes",18600,Dallas N,NULL,Pkwy.,47889,White,Female,No, No injuries noted or visible,Yes,Alchohol and unknown drugs, APOWW,4403,614,610,NORTH CENTRAL,D12, ,,,"18600 DALLAS NORTH TOLLWAY
Dallas, TX",,,,,
