"the_geom","asset_cate","external_i","asset_id","asset_name","asset_clas","asset_sub_","asset_type","asset_su00","suburb","location","traffic_si","installati","power_sour","installa00","asset_hand","constructi","notes","maintained","ownership","longitude","latitude"
"POINT (149.16976342211348 -35.383950767550544)","ICT Hardware","11286891.0","BLTS52","LANYON DR / MONARO HWY NTH BOUND, HUME BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","HUME","LANYON DR / MONARO HWY NTH BOUND, HUME","TRAFFIC SIGNAL SITE 231","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.169757985","-35.3839592222"
"POINT (149.06265658545195 -35.22136801473275)","ICT Hardware","11286839.0","BLTS1","GINNINDERRA DR / COULTER DR, EVATT BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","FLOREY","GINNINDERRA DR / COULTER DR, EVATT","TRAFFIC SIGNAL SITE 50","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.062650969","-35.2213763975"
"POINT (149.142481694343 -35.273277617807814)","ICT Hardware","11286818.0","BLTS71","LIMESTONE AV / DONALDSON ST, AINSLIE BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","BRADDON","LIMESTONE AV / DONALDSON ST, AINSLIE","TRAFFIC SIGNAL SITE 4","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.142476126","-35.2732859425"
"POINT (149.1306744086195 -35.266276311175545)","ICT Hardware","11286844.0","BLTS6","NORTHBOURNE AV / CONDAMINE ST, TURNER BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","TURNER","NORTHBOURNE AV / CONDAMINE ST, TURNER","TRAFFIC SIGNAL SITE 13","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.13066884","-35.2662846357"
"POINT (149.10363742230996 -35.259718184469655)","ICT Hardware","11286849.0","BLTS11","BARRY DR / BELCONNEN WAY, O'CONNOR BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","O'CONNOR","BARRY DR / BELCONNEN WAY, O'CONNOR","TRAFFIC SIGNAL SITE 28","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.103631843","-35.2597265231"
"POINT (149.0759417695401 -35.27630405529153)","ICT Hardware","11286878.0","BLTS39","WILLIAM HOVELL DR / BINDUBI ST, BELCONNEN BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","MOLONGLO VALLEY (RURAL DIST.)","WILLIAM HOVELL DR / BINDUBI ST, BELCONNEN","TRAFFIC SIGNAL SITE 90","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.075936138","-35.2763124774"
"POINT (149.05658321017563 -35.3740705440421)","ICT Hardware","11286826.0","BLTS79","DRAKEFORD DRIVE / SULWOOD DR, KAMBAH BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","KAMBAH","DRAKEFORD DRIVE / SULWOOD DR, KAMBAH","TRAFFIC SIGNAL SITE 64","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.056577537","-35.3740790274"
"POINT (149.1639542921425 -35.34042515377892)","ICT Hardware","11286864.0","BLTS25","HINDMARSH DR / MONARO HWY (STHRAMP), SYMONSTON BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","SYMONSTON","HINDMARSH DR / MONARO HWY (STHRAMP), SYMONSTON","TRAFFIC SIGNAL SITE 134","MODIFIED INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.163948773","-35.3404334846"
"POINT (149.13169600503738 -35.26065577962814)","ICT Hardware","11286821.0","BLTS74","NORTHBOURNE AV / MACARTHUR AV, TURNER BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","BRADDON","NORTHBOURNE AV / MACARTHUR AV, TURNER","TRAFFIC SIGNAL SITE 9","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.131690448","-35.2606640955"
"POINT (149.16102799655533 -35.33044294748567)","ICT Hardware","11286865.0","BLTS26","CANBERRA AV / MONARO HWY (OFF RAMP), NARRABUNDAH BLUETOOTH SENSOR","ROAD INFRASTRUCTURE","ELECTRICAL AND MECHANICAL","ITS DEVICE","BLUETOOTH SENSOR","NARRABUNDAH","CANBERRA AV / MONARO HWY (OFF RAMP), NARRABUNDAH","TRAFFIC SIGNAL SITE 137","STANDARD INSTALLATION","TRAFFIC SIGNAL CONTROL BOX",,"CAPITAL WORKS",,,"ROADS ACT","ROADS ACT","149.161022466","-35.3304512835"
