ASSET_ID,EQUIPMENT,LOCATION,DIVISION_NAME,IMAGE_LINK,VIDEO_LINK,LATITUDE,LONGITUDE,Location_1,Zip Codes
Plgr187,This playground has no play structures.,Railway Street Pedestrian Parkland,Oaks Estate,,,-35.341973,149.227519,"(-35.341973, 149.227519)",
Plgr533,This playground has no play structures.,Townsend Place District Park,Belconnen,,,-35.236067,149.074995,"(-35.236067, 149.074995)",
Plgr1,This playground has no play structures.,Paterson Street Neighbourhood Park,Ainslie,,,-35.268805,149.141571,"(-35.268805, 149.141571)",
Plgr43,This playground has no play structures.,Jamison Centre,Macquarie,,,-35.253349,149.071527,"(-35.253349, 149.071527)",
Plgr240,This playground has no play structures.,De Little Circuit Central Community  Playground,Greenway,,,-35.402803,149.072405,"(-35.402803, 149.072405)",
Plgr619,This playground has no play structures.,Pahlman Street Neighbourhood Park,Forde,,,-35.16829,149.146406,"(-35.16829, 149.146406)",
Plgr445,This playground has no play structures.,Hall Park Pedestrian Parkland,Hall,,,-35.171633,149.070198,"(-35.171633, 149.070198)",
Plgr521,This playground has no play structures.,James Harrison Street Neighbourhood Park,Dunlop,,,-35.191296,149.017063,"(-35.191296, 149.017063)",
Plgr14,This playground has no play structures.,Tryon Street Neighbourhood Park,Hackett,,,-35.24946,149.165251,"(-35.24946, 149.165251)",
Plgr679,This playground has no play structures.,Mortimer Lewis Drive,Greenway,,,-35.407188,149.070955,"(-35.407188, 149.070955)",
Plgr228,This playground has no play structures.,Coyne Street District Park,Fadden,,,-35.411025,149.120551,"(-35.411025, 149.120551)",
Plgr588,This playground has no play structures.,Hilder Street Neighbourhood Park,Weston,,,-35.336942,149.055067,"(-35.336942, 149.055067)",
Plgr345,This playground has no play structures.,Dumolo Place Neighbourhood Park,Isaacs,,,-35.368328,149.111165,"(-35.368328, 149.111165)",
Plgr492,This playground has no play structures.,Garryowen Drive District Park,Acton,,,-35.292273,149.101138,"(-35.292273, 149.101138)",
Plgr178,This playground has no play structures.,Finn Street Neighbouhood Park,O'connor,,,-35.260888,149.118359,"(-35.260888, 149.118359)",
Plgr372,This playground has no play structures.,Chifley Place Neighbourhood Park,Chifley,,,-35.352569,149.07665,"(-35.352569, 149.07665)",
Plgr142,This playground has no play structures.,Scarlett Street Neighbourhood Park,Melba,,,-35.211514,149.053432,"(-35.211514, 149.053432)",
Plgr451,This playground has no play structures.,Kosciuszko Avenue Neighbourhood Park,Palmerston,,,-35.197305,149.119068,"(-35.197305, 149.119068)",
Plgr535,This playground has no play structures.,Burgoyne Street Neighbourhood Park,Bonython,,,-35.426476,149.071602,"(-35.426476, 149.071602)",
Plgr480,This playground has no play structures.,Paul Coe Crescent Road Median,Ngunnawal,,,-35.17467,149.1198,"(-35.17467, 149.1198)",
Plgr98,This playground has no play structures.,Florey Drive District Park,Latham,,,-35.212932,149.028095,"(-35.212932, 149.028095)",
Plgr81,This playground has no play structures.,Shakespheare Crescent Neighbourhood Park,Fraser,,,-35.192024,149.040594,"(-35.192024, 149.040594)",
Plgr475,This playground has no play structures.,Bizant Street Neighbourhood Park,Amaroo,,,-35.17373,149.135224,"(-35.17373, 149.135224)",
Plgr405,This playground has no play structures.,Wilkins Street Neighbourhood Park,Mawson,,,-35.370295,149.098561,"(-35.370295, 149.098561)",
Plgr185,This playground has no play structures.,Geerilong Gardens Neighbourhood Park,Reid,,,-35.283076,149.143688,"(-35.283076, 149.143688)",
Plgr443,This playground has no play structures.,Levine Street Neighbourhood Park,Evatt,,,-35.211351,149.064818,"(-35.211351, 149.064818)",
