"trip_id","location","odometer","timestamp","congestion_level","vehicle_id","vehicle_label","vehicle_licenceplate","stop_sequence","gtfsrupdateid","updatedeleted","latitude","longitude","bearing","currentstatus","stopid"
"194","POINT (-35.19681167602539 149.1502227783203)","259239470.0","2022-08-30T10:04:45.000","RUNNING_SMOOTHLY","4","LRV4","LRV4","4","16743101","None","-35.19681167602539","149.1502227783203","10.818095207214355","IN_TRANSIT_TO","8108"
"62","POINT (-35.23582077026367 149.14382934570312)","217618214.0","2022-08-30T10:04:45.000","RUNNING_SMOOTHLY","5","LRV5","LRV5","7","16743104","None","-35.23582077026367","149.14382934570312","227.94049072265625","STOPPED_AT","8117"
"64","POINT (-35.2598876953125 149.1322021484375)","206028312.0","2022-08-30T10:04:45.000","RUNNING_SMOOTHLY","7","LRV7","LRV7","4","16743100","None","-35.2598876953125","149.1322021484375","186.50680541992188","STOPPED_AT","8123"
"193","POINT (-35.23617172241211 149.1434326171875)","255093342.0","2022-08-30T10:04:45.000","RUNNING_SMOOTHLY","11","LRV11","LRV11","9","16743103","None","-35.23617172241211","149.1434326171875","51.28898620605469","IN_TRANSIT_TO","8118"
"58","POINT (-35.18567657470703 149.13595581054688)","238371829.0","2022-08-30T10:04:45.000","RUNNING_SMOOTHLY","12","LRV12","LRV12","14","16743105","None","-35.18567657470703","149.13595581054688","110.95951080322266","IN_TRANSIT_TO","8100"
"61","POINT (-35.22367477416992 149.14393615722656)","217860253.0","2022-08-30T10:04:45.000","RUNNING_SMOOTHLY","14","LRV14","LRV14","9","16743102","None","-35.22367477416992","149.14393615722656","193.08126831054688","IN_TRANSIT_TO","8113"
"61","POINT (-35.22429656982422 149.1437530517578)","217860187.0","2022-08-30T10:04:30.000","RUNNING_SMOOTHLY","14","LRV14","LRV14","9","16742826","None","-35.22429656982422","149.1437530517578","193.47360229492188","IN_TRANSIT_TO","8113"
"194","POINT (-35.19419479370117 149.15084838867188)","259239189.0","2022-08-30T10:04:30.000","RUNNING_SMOOTHLY","4","LRV4","LRV4","4","16742827","None","-35.19419479370117","149.15084838867188","11.712051391601562","IN_TRANSIT_TO","8108"
"58","POINT (-35.185848236083984 149.13662719726562)","238371769.0","2022-08-30T10:04:30.000","RUNNING_SMOOTHLY","12","LRV12","LRV12","14","16742828","None","-35.185848236083984","149.13662719726562","100.20555877685547","IN_TRANSIT_TO","8100"
"62","POINT (-35.23652267456055 149.142822265625)","217618099.0","2022-08-30T10:04:30.000","RUNNING_SMOOTHLY","5","LRV5","LRV5","7","16742829","None","-35.23652267456055","149.142822265625","228.23214721679688","IN_TRANSIT_TO","8117"
"193","POINT (-35.235862731933594 149.14390563964844)","255093287.0","2022-08-30T10:04:30.000","RUNNING_SMOOTHLY","11","LRV11","LRV11","8","16742824","None","-35.235862731933594","149.14390563964844","47.2679443359375","STOPPED_AT","8116"
"64","POINT (-35.260337829589844 149.1321258544922)","206028270.0","2022-08-30T10:04:30.000","RUNNING_SMOOTHLY","7","LRV7","LRV7","4","16742825","None","-35.260337829589844","149.1321258544922","186.95301818847656","IN_TRANSIT_TO","8123"
"192","POINT (-35.27704620361328 149.12950134277344)","210534573.0","2022-08-30T10:04:00.000","RUNNING_SMOOTHLY","2","LRV2","LRV2","14","16742270","None","-35.27704620361328","149.12950134277344","6.773172378540039","IN_TRANSIT_TO","8129"
