"category","type","age","year","regionage","region","sex","participants","crude_rate","as_rate"
"Screening","Breast cancer","50-69 years","2005-2006","ACT, 50-69 years","ACT","Female",,,"56.8"
"Screening","Breast cancer","50-69 years","2006-2007","ACT, 50-69 years","ACT","Female",,,"57.6"
"Screening","Breast cancer","50-69 years","2007-2008","ACT, 50-69 years","ACT","Female",,,"54.2"
"Screening","Breast cancer","50-69 years","2008-2009","ACT, 50-69 years","ACT","Female",,,"53.8"
"Screening","Breast cancer","50-69 years","2009-2010","ACT, 50-69 years","ACT","Female","20171",,"52.8"
"Screening","Breast cancer","50-69 years","2010-2011","ACT, 50-69 years","ACT","Female","20342",,"52.1"
"Screening","Breast cancer","50-69 years","2011-2012","ACT, 50-69 years","ACT","Female","21338",,"53.4"
"Screening","Breast cancer","50-69 years","2012-2013","ACT, 50-69 years","ACT","Female","22441","55.5","54.9"
"Screening","Breast cancer","50-69 years","2005-2006","Australia, 50-69 years","Australia","Female",,,"56.9"
"Screening","Breast cancer","50-69 years","2006-2007","Australia, 50-69 years","Australia","Female",,,"56.1"
"Screening","Breast cancer","50-69 years","2007-2008","Australia, 50-69 years","Australia","Female",,,"54.9"
"Screening","Breast cancer","50-69 years","2008-2009","Australia, 50-69 years","Australia","Female",,,"55.2"
"Screening","Breast cancer","50-69 years","2009-2010","Australia, 50-69 years","Australia","Female","1352112",,"55"
"Screening","Breast cancer","50-69 years","2010-2011","Australia, 50-69 years","Australia","Female","1373731",,"54.6"
"Screening","Breast cancer","50-69 years","2011-2012","Australia, 50-69 years","Australia","Female","1407065",,"54.6"
"Screening","Breast cancer","50-69 years","2012-2013","Australia, 50-69 years","Australia","Female","1439748","54.9","54.4"
"Screening","Breast cancer","50-69 years","2013-2014","ACT, 50-69 years","ACT","Female","22702","55","54.4"
"Screening","Breast cancer","50-69 years","2013-2014","Australia, 50-69 years","Australia","Female","1456822","54.2","53.7"
"Screening","Breast cancer","50-69 years","2014-2015","NSW, 50-69 years","NSW","Female","461418","52","51.2"
"Screening","Breast cancer","50-69 years","2014-2015","Vic, 50-69 years","Vic","Female","365858","54","53.8"
"Screening","Breast cancer","50-69 years","2014-2015","Qld, 50-69 years","Qld","Female","312049","57","56.8"
"Screening","Breast cancer","50-69 years","2014-2015","WA, 50-69 years","WA","Female","155336","55","54.6"
"Screening","Breast cancer","50-69 years","2014-2015","SA, 50-69 years","SA","Female","126055","59","58.5"
"Screening","Breast cancer","50-69 years","2014-2015","Tas, 50-69 years","Tas","Female","40709","58","57.4"
"Screening","Breast cancer","50-69 years","2014-2015","ACT, 50-69 years","ACT","Female","23489","56","55.4"
"Screening","Breast cancer","50-69 years","2014-2015","NT, 50-69 years","NT","Female","8240","38","37.7"
"Screening","Breast cancer","50-69 years","2014-2015","Australia, 50-69 years","Australia","Female","1493154","55","54"
"Screening","Breast cancer","50-74 years","2014-2015","NSW, 50-74 years","NSW","Female","527978","51.2","50.6"
"Screening","Breast cancer","50-74 years","2014-2015","Vic, 50-74 years","Vic","Female","411343","52.6","52.2"
"Screening","Breast cancer","50-74 years","2014-2015","Qld, 50-74 years","Qld","Female","358403","57","56.5"
"Screening","Breast cancer","50-74 years","2014-2015","WA, 50-74 years","WA","Female","178244","55.2","54.8"
"Screening","Breast cancer","50-74 years","2014-2015","SA, 50-74 years","SA","Female","144164","58.3","57.6"
"Screening","Breast cancer","50-74 years","2014-2015","Tas, 50-74 years","Tas","Female","46672","57.5","56.7"
"Screening","Breast cancer","50-74 years","2014-2015","ACT, 50-74 years","ACT","Female","26318","55.1","54.4"
"Screening","Breast cancer","50-74 years","2014-2015","NT, 50-74 years","NT","Female","8732","36.6","35.8"
"Screening","Breast cancer","50-74 years","2014-2015","Australia, 50-74 years","Australia","Female","1701854","53.7","53.2"
"Screening","Breast cancer","50-69 years","2015-2016","NSW, 50-69 years","NSW","Female","480604","53.4","52.8"
"Screening","Breast cancer","50-69 years","2015-2016","Vic, 50-69 years","Vic","Female","377884","54.3","53.9"
"Screening","Breast cancer","50-69 years","2015-2016","Qld, 50-69 years","Qld","Female","315396","56.5","55.9"
"Screening","Breast cancer","50-69 years","2015-2016","WA, 50-69 years","WA","Female","161189","56.8","56.3"
"Screening","Breast cancer","50-69 years","2015-2016","SA, 50-69 years","SA","Female","128135","59.7","58.9"
"Screening","Breast cancer","50-69 years","2015-2016","Tas, 50-69 years","Tas","Female","41183","58.3","57.3"
"Screening","Breast cancer","50-69 years","2015-2016","ACT, 50-69 years","ACT","Female","24660","58.2","57.7"
"Screening","Breast cancer","50-69 years","2015-2016","NT, 50-69 years","NT","Female","8386","37.1","37.2"
"Screening","Breast cancer","50-69 years","2015-2016","Australia, 50-69 years","Australia","Female","1537437","55.1","54.6"
"Screening","Breast cancer","50-74 years","2015-2016","NSW, 50-74 years","NSW","Female","557284","53.2","52.7"
"Screening","Breast cancer","50-74 years","2015-2016","Vic, 50-74 years","Vic","Female","432033","53.5","53.2"
"Screening","Breast cancer","50-74 years","2015-2016","Qld, 50-74 years","Qld","Female","365276","56.5","56"
"Screening","Breast cancer","50-74 years","2015-2016","WA, 50-74 years","WA","Female","183987","56.6","56.2"
"Screening","Breast cancer","50-74 years","2015-2016","SA, 50-74 years","SA","Female","149294","59.5","58.8"
"Screening","Breast cancer","50-74 years","2015-2016","Tas, 50-74 years","Tas","Female","47753","57.8","57"
"Screening","Breast cancer","50-74 years","2015-2016","ACT, 50-74 years","ACT","Female","27904","57.6","57"
"Screening","Breast cancer","50-74 years","2015-2016","NT, 50-74 years","NT","Female","9009","36.6","36.3"
"Screening","Breast cancer","50-74 years","2015-2016","Australia, 50-74 years","Australia","Female","1772540","54.8","54.3"
"Screening","Breast cancer","50-69 years","2016-2017","NSW, 50-69 years","NSW","Female","488820","53.8","53.1"
"Screening","Breast cancer","50-69 years","2016-2017","Vic, 50-69 years","Vic","Female","385010","54.3","54"
"Screening","Breast cancer","50-69 years","2016-2017","Qld, 50-69 years","Qld","Female","314656","55.4","54.8"
"Screening","Breast cancer","50-69 years","2016-2017","WA, 50-69 years","WA","Female","160565","55.8","55.2"
"Screening","Breast cancer","50-69 years","2016-2017","SA, 50-69 years","SA","Female","129629","60.1","59.2"
"Screening","Breast cancer","50-69 years","2016-2017","Tas, 50-69 years","Tas","Female","41948","59","58.1"
"Screening","Breast cancer","50-69 years","2016-2017","ACT, 50-69 years","ACT","Female","24657","57.6","57.1"
"Screening","Breast cancer","50-69 years","2016-2017","NT, 50-69 years","NT","Female","8844","38.4","38.4"
"Screening","Breast cancer","50-69 years","2016-2017","Australia, 50-69 years","Australia","Female","1554129","55","54.4"
"Screening","Breast cancer","50-74 years","2016-2017","NSW, 50-74 years","NSW","Female","571824","53.7","53.2"
"Screening","Breast cancer","50-74 years","2016-2017","Vic, 50-74 years","Vic","Female","446764","54.1","53.7"
"Screening","Breast cancer","50-74 years","2016-2017","Qld, 50-74 years","Qld","Female","367952","55.6","55.1"
"Screening","Breast cancer","50-74 years","2016-2017","WA, 50-74 years","WA","Female","186314","56.2","55.8"
"Screening","Breast cancer","50-74 years","2016-2017","SA, 50-74 years","SA","Female","152443","59.9","59.1"
"Screening","Breast cancer","50-74 years","2016-2017","Tas, 50-74 years","Tas","Female","49598","59.2","58.4"
"Screening","Breast cancer","50-74 years","2016-2017","ACT, 50-74 years","ACT","Female","28376","57.5","57.1"
"Screening","Breast cancer","50-74 years","2016-2017","NT, 50-74 years","NT","Female","9564","38","37.8"
"Screening","Breast cancer","50-74 years","2016-2017","Australia, 50-74 years","Australia","Female","1812835","55","54.5"
"Screening","Breast cancer","50-69 years","2017-2018","NSW, 50-69 years","NSW","Female","488682","53.4","52.7"
"Screening","Breast cancer","50-69 years","2017-2018","Vic, 50-69 years","Vic","Female","389129","54.2","53.8"
"Screening","Breast cancer","50-69 years","2017-2018","Qld, 50-69 years","Qld","Female","315890","54.9","54.3"
"Screening","Breast cancer","50-69 years","2017-2018","WA, 50-69 years","WA","Female","161805","55.5","54.9"
"Screening","Breast cancer","50-69 years","2017-2018","SA , 50-69 years","SA","Female","128485","59.2","58.3"
"Screening","Breast cancer","50-69 years","2017-2018","Tas , 50-69 years","Tas","Female","43303","60.3","59.4"
"Screening","Breast cancer","50-69 years","2017-2018","ACT, 50-69 years","ACT","Female","24808","56.9","56.4"
"Screening","Breast cancer","50-69 years","2017-2018","NT , 50-69 years","NT","Female","8880","38.4","38.4"
"Screening","Breast cancer","50-69 years","2017-2018","Australia, 50-69 years","Australia","Female","1560982","54.7","54.1"
"Screening","Breast cancer","50-74 years","2017-2018","NSW, 50-74 years","NSW","Female","579017","53.7","53.1"
"Screening","Breast cancer","50-74 years","2017-2018","Vic, 50-74 years","Vic","Female","456526","54.1","53.7"
