"site","town_centre","location","cyclists_total_average","pedestrians_total_average","cyclists_total_2015","pedestrians_total_2015","cyclists_inbound_am_2015","cyclists_outbound_am_2015","pedestrians_inbound_am_2015","pedestrians_outbound_am_2015","cyclists_inbound_pm_2015","cyclists_outbound_pm_2015","pedestrians_inbound_pm_2015","pedestrians_outbound_pm_2015","cyclists_total_2016","pedestrians_total_2016","cyclists_inbound_am_2016","cyclists_outbound_am_2016","pedestrians_inbound_am_2016","pedestrians_outbound_am_2016","cyclists_inbound_pm_2016","cyclists_outbound_pm_2016","pedestrians_inbound_pm_2016","pedestrians_outbound_pm_2016","cyclists_total_2017","pedestrians_total_2017","cyclists_inbound_am_2017","cyclists_outbound_am_2017","pedestrians_inbound_am_2017","pedestrians_outbound_am_2017","cyclists_inbound_pm_2017","cyclists_outbound_pm_2017","pedestrians_inbound_pm_2017","pedestrians_outbound_pm_2017","cyclists_total_2018","pedestrians_total_2018","cyclists_inbound_am_2018","cyclists_outbound_am_2018","pedestrians_inbound_am_2018","pedestrians_outbound_am_2018","cyclists_inbound_pm_2018","cyclists_outbound_pm_2018","pedestrians_inbound_pm_2018","pedestrians_outbound_pm_2018"
"C02","Civic","(-35.283764, 149.106963)","6","1","1","3","0","0","1","0","0","1","0","2","10","0","0","5","0","0","1","4","0","0","8","0","3","2","0","0","0","3","0","0","6","0","3","0","0","0","1","2","0","0"
"C03","Civic","(-35.283054, 149.106936)","8","0","3","0","3","0","0","0","0","0","0","0","14","0","10","1","0","0","1","2","0","0","5","0","2","1","0","0","0","2","0","0","9","0","7","0","0","0","0","2","0","0"
"T07","Tuggeranong","(-35.425363, 149.072671)","32","60","30","52","14","2","14","7","2","12","9","22","33","69","17","1","33","9","1","14","6","21","33","59","17","2","26","5","3","11","4","24","32","61","14","4","24","10","5","9","8","19"
"C08","Civic","(-35.272525, 149.120329)","235","208","251","219","142","9","81","5","17","83","14","119","213","196","120","6","87","6","15","72","9","94","255","223","117","11","85","8","23","104","20","110","219","192","118","8","73","6","14","79","12","101"
"W18","Woden","(-35.344785, 149.083195)","166","521","208","568","103","6","286","37","4","95","34","211","152","578","81","1","287","25","11","59","44","222","142","492","70","2","232","12","6","64","34","214","162","444","79","2","218","25","8","73","31","170"
"G14","Gungahlin","(-35.187936, 149.138904)","46","50",,,,,,,,,,,,,,,,,,,,,"35","30","18","12","17","4","2","3","3","6","57","70","21","2","21","6","15","19","18","25"
"W17","Woden","(-35.346212, 149.083801)","7","206","9","236","3","1","97","10","0","5","34","95","5","195","3","0","66","11","0","2","27","91","6","191","2","0","63","8","2","2","31","89","6","200","2","1","72","12","1","2","34","82"
"T01","Tuggeranong","(-35.40905, 149.062878)","124","42","129","47","60","9","12","3","5","55","10","22","124","29","55","13","15","8","8","48","1","5","112","27","7","50","3","4","50","5","16","4","129","64","63","6","26","8","14","46","5","25"
"B16","Belconnen","(-35.243161, 149.067501)","223","728","249","750","81","38","406","36","30","100","22","286","222","697","80","47","357","37","25","70","17","286","203","676","85","22","346","41","18","78","20","269","217","789","75","35","385","42","34","73","41","321"
"T06","Tuggeranong","(-35.42505, 149.075372)","97","64","84","58","31","18","20","15","3","32","6","17","93","64","25","13","36","6","11","44","4","18","130","70","50","7","29","4","19","54","11","26","79","65","24","10","24","5","13","32","10","26"
"G03","Gungahlin","(-35.182961, 149.133123)","24","239","17","187","11","2","72","16","1","3","33","66","33","224","12","6","84","24","7","8","56","60","22","178","12","0","80","19","4","6","27","52","22","365","6","2","141","24","4","10","70","130"
"W04","Woden","(-35.340792, 149.087387)","72","37","78","19","23","8","4","8","1","46","3","4","60","11","15","14","2","7","2","29","0","2","60","23","21","6","5","15","4","29","1","2","88","96","32","11","19","58","5","40","10","9"
"C21","Civic","(-35.281231, 149.13697)","172","420","201","391","95","5","173","14","15","86","40","164","181","444","86","3","171","29","14","78","42","202","150","437","75","0","190","21","13","62","60","166","155","407","70","6","179","26","11","68","44","158"
"C16","Civic","(-35.27595, 149.13235)","371","2078","364","1857","114","42","594","273","41","167","300","690","329","1903","112","28","627","229","39","150","300","747","363","2228","94","53","608","282","43","173","395","943","428","2325","121","43","720","236","63","201","354","1015"
"C04","Civic","(-35.266203, 149.10978)","31","7","46","5","20","1","0","0","3","22","3","2","18","6","0","9","0","1","9","0","5","0","18","8","9","1","4","0","0","8","1","3","42","8","18","4","1","4","5","15","1","2"
"C31","Civic","(-35.291798, 149.126963)","1134","186","1157","193","368","226","44","46","363","200","53","50","1074","177","360","195","60","35","338","181","41","41","1132","196","345","214","50","31","381","192","47","68","1173","176","371","253","45","33","378","171","41","57"
