"row_id","date","site","name","location_1","micro_result","micro_compliance","algee_result","final_compliance","comments","zip_codes","suburb"
"20200324LG/2","2020-03-24T00:00:00.000","LG/2","Dulwa & Nengi Bamir Beaches","POINT (149.069692 -35.225486)","NS","Yes",,,"The monitoring of this site for intestinal enterococci has now ceased until further notice.",,
"20200324LG/6","2020-03-24T00:00:00.000","LG/6","Bargang Beach","POINT (149.064357 -35.227708)","NS","Yes",,,"The monitoring of this site for intestinal enterococci has now ceased until further notice.",,
"20200324LG/7","2020-03-24T00:00:00.000","LG/7","Yerra Beach","POINT (149.063622 -35.226007)","NS","Yes",,,"The monitoring of this site for intestinal enterococci has now ceased until further notice.",,
"20200324MOL/SKI","2020-03-24T00:00:00.000","MOL/SKI","Water Ski Boat Ramp","POINT (149.175036 -35.30442)","NS","Yes",,,"The monitoring of this site for intestinal enterococci has now ceased until further notice.",,
"20200324LT/3","2020-03-24T00:00:00.000","LT/3","Tuggeranong Town Park","POINT (149.06529 -35.410376)","NS","Yes",,,"The monitoring of this site for intestinal enterococci has now ceased until further notice.",,
"20200324LT/5","2020-03-24T00:00:00.000","LT/5","Nguru Beach","POINT (149.069938 -35.407572)","NS","Yes",,,"The monitoring of this site for intestinal enterococci has now ceased until further notice.",,
"20200324LT/7","2020-03-24T00:00:00.000","LT/7","Ngadyung Beach","POINT (149.066867 -35.405739)","NS","Yes",,,"The monitoring of this site for intestinal enterococci has now ceased until further notice.",,
"20200324MR/1","2020-03-24T00:00:00.000","MR/1","Pine Island","POINT (149.0627416 -35.429116)","NS","Yes",,,"The monitoring of this site for intestinal enterococci has now ceased until further notice.",,
"20200324MR/3","2020-03-24T00:00:00.000","MR/3","Kambah Pool","POINT (149.0090686 -35.3948892)","NS","Yes",,,"The monitoring of this site for intestinal enterococci has now ceased until further notice.",,
"20200324MR/4","2020-03-24T00:00:00.000","MR/4","Casuarina Sands","POINT (148.9554338 -35.3196656)","NS","Yes",,,"The monitoring of this site for intestinal enterococci has now ceased until further notice.",,
"20200324MR/5","2020-03-24T00:00:00.000","MR/5","Cotter Campground","POINT (148.9470014 -35.3264263)","NS","Yes",,,"The monitoring of this site for intestinal enterococci has now ceased until further notice.",,
