"siteid","site_name","latitude","longitude","location"
"10","Paddys River @Murray's Corner","-35.36304","148.9523","POINT (148.9523 -35.36304)"
"242","Molonglo River @ Sutton Road Bridge","-35.33493","149.2405","POINT (149.2405 -35.33493)"
"196","Ginninderra Creek downstream of L. Ginn","-35.21902","149.067","POINT (149.067 -35.21902)"
"15","Tidbinbilla River @ Paddy's River Road","-35.4145","148.9458","POINT (148.9458 -35.4145)"
"246","Jerrabomberra Creek @ Hindmarsh Drive","-35.3394","149.1666","POINT (149.1666 -35.3394)"
"64","Ginninderra Creek @ Macrossan Cres Latham","-35.21216","149.031","POINT (149.031 -35.21216)"
"20","Gudgenby River @ Smiths Road Crossing","-35.57805","149.067","POINT (149.067 -35.57805)"
"53","Murrumbidgee River @ Halls Crossing","-35.13165","148.9442","POINT (148.9442 -35.13165)"
"58","Tuggeranong Creek downstream of L. Tugg","-35.40722","149.0599","POINT (149.0599 -35.40722)"
"40","Murrumbidgee River @ Angle Crossing","-35.5831","149.1089","POINT (149.1089 -35.5831)"
"195","Ginninderra Creek @ Baldwin Drive Bridge","-35.21581","149.0864","POINT (149.0864 -35.21581)"
"189","Yarralumla Creek @ Cotter Road Bridge","-35.31573","149.0782","POINT (149.0782 -35.31573)"
"235","Queanbeyan River Below cemetery","-35.34344","149.2349","POINT (149.2349 -35.34344)"
