"measure","month_name","year","percent","timestamp"
"VA Trust","Jul","2016","0.59","2016-07-31T00:00:00.000"
"Outpatient Trust","Jul","2016",,"2016-07-31T00:00:00.000"
"Outpatient Ease","Jul","2016",,"2016-07-31T00:00:00.000"
"Outpatient Effectiveness","Jul","2016",,"2016-07-31T00:00:00.000"
"Outpatient Emotion","Jul","2016",,"2016-07-31T00:00:00.000"
"VA Trust","Oct","2016","0.6","2016-10-31T00:00:00.000"
"Outpatient Trust","Oct","2016",,"2016-10-31T00:00:00.000"
"Outpatient Ease","Oct","2016",,"2016-10-31T00:00:00.000"
"Outpatient Effectiveness","Oct","2016",,"2016-10-31T00:00:00.000"
"Outpatient Emotion","Oct","2016",,"2016-10-31T00:00:00.000"
"VA Trust","Jan","2017","0.61","2017-01-31T00:00:00.000"
"Outpatient Trust","Jan","2017",,"2017-01-31T00:00:00.000"
"Outpatient Ease","Jan","2017",,"2017-01-31T00:00:00.000"
"Outpatient Effectiveness","Jan","2017",,"2017-01-31T00:00:00.000"
"Outpatient Emotion","Jan","2017",,"2017-01-31T00:00:00.000"
"VA Trust","Apr","2017","0.65","2017-04-30T00:00:00.000"
"Outpatient Trust","Apr","2017",,"2017-04-30T00:00:00.000"
"Outpatient Ease","Apr","2017",,"2017-04-30T00:00:00.000"
"Outpatient Effectiveness","Apr","2017",,"2017-04-30T00:00:00.000"
"Outpatient Emotion","Apr","2017",,"2017-04-30T00:00:00.000"
"VA Trust","Jul","2017","0.66","2017-07-31T00:00:00.000"
"Outpatient Trust","Jul","2017","0.85","2017-07-31T00:00:00.000"
"Outpatient Ease","Jul","2017","0.87","2017-07-31T00:00:00.000"
"Outpatient Effectiveness","Jul","2017","0.89","2017-07-31T00:00:00.000"
"Outpatient Emotion","Jul","2017","0.93","2017-07-31T00:00:00.000"
"VA Trust","Oct","2017","0.69","2017-10-31T00:00:00.000"
"Outpatient Trust","Oct","2017","0.85","2017-10-31T00:00:00.000"
"Outpatient Ease","Oct","2017","0.87","2017-10-31T00:00:00.000"
"Outpatient Effectiveness","Oct","2017","0.89","2017-10-31T00:00:00.000"
"Outpatient Emotion","Oct","2017","0.93","2017-10-31T00:00:00.000"
"VA Trust","Jan","2018","0.69","2018-01-31T00:00:00.000"
"Outpatient Trust","Jan","2018","0.86","2018-01-31T00:00:00.000"
"Outpatient Ease","Jan","2018","0.87","2018-01-31T00:00:00.000"
"Outpatient Effectiveness","Jan","2018","0.9","2018-01-31T00:00:00.000"
"Outpatient Emotion","Jan","2018","0.93","2018-01-31T00:00:00.000"
"VA Trust","Apr","2018","0.7","2018-04-30T00:00:00.000"
"Outpatient Trust","Apr","2018","0.86","2018-04-30T00:00:00.000"
"Outpatient Ease","Apr","2018","0.88","2018-04-30T00:00:00.000"
"Outpatient Effectiveness","Apr","2018","0.9","2018-04-30T00:00:00.000"
"Outpatient Emotion","Apr","2018","0.93","2018-04-30T00:00:00.000"
"VA Trust","Jul","2018","0.69","2018-07-31T00:00:00.000"
"Outpatient Trust","Jul","2018","0.87","2018-07-31T00:00:00.000"
"Outpatient Ease","Jul","2018","0.89","2018-07-31T00:00:00.000"
"Outpatient Effectiveness","Jul","2018","0.9","2018-07-31T00:00:00.000"
"Outpatient Emotion","Jul","2018","0.94","2018-07-31T00:00:00.000"
"VA Trust","Oct","2018","0.7","2018-10-31T00:00:00.000"
"Outpatient Trust","Oct","2018","0.87","2018-10-31T00:00:00.000"
"Outpatient Ease","Oct","2018","0.88","2018-10-31T00:00:00.000"
"Outpatient Effectiveness","Oct","2018","0.91","2018-10-31T00:00:00.000"
"Outpatient Emotion","Oct","2018","0.94","2018-10-31T00:00:00.000"
