"predio","direccion","estrato"
"25-290-01-00-0001-0001-000","K 13 1 99","2.0"
"25-290-01-00-0001-0002-000","C 2 13 20","2.0"
"25-290-01-00-0001-0003-000","K 13 1 87","3.0"
"25-290-01-00-0001-0004-000","K 13 1 83","3.0"
"25-290-01-00-0001-0005-000","K 13 1 81","2.0"
"25-290-01-00-0001-0006-000","K 13 1 79","2.0"
"25-290-01-00-0001-0007-000","K 13 1 75","2.0"
"25-290-01-00-0001-0008-000","K 13 1 73","2.0"
"25-290-01-00-0001-0009-000","K 13 1 69","2.0"
"25-290-01-00-0001-0010-000","K 13 1 55","2.0"
"25-290-01-00-0001-0011-000","K 13 1 53","2.0"
"25-290-01-00-0001-0012-000","K 13 1 51","2.0"
"25-290-01-00-0001-0013-000","K 13 1 25","2.0"
"25-290-01-00-0001-0019-000","C 1 13 39 N","2.0"
"25-290-01-00-0001-0020-000","C 1 13 14 18","2.0"
"25-290-01-00-0001-0023-000","C 1 13 41","2.0"
"25-290-01-00-0001-0201-000","K 13 1 13","2.0"
"25-290-01-00-0001-0202-000","C 1 13 23","1.0"
"25-290-01-00-0001-0204-000","K 13 1 23","2.0"
"25-290-01-00-0001-0206-000","C 1 13 35","2.0"
"25-290-01-00-0001-0208-000","LOTE 3, URBANIZACION GAITAN","3.0"
"25-290-01-00-0001-0209-000","C 1 13 35 INT 4","2.0"
"25-290-01-00-0001-0210-000","CRA 13 No 00 NORTE 97","3.0"
"25-290-01-00-0001-0211-000","LT 1 MZ E","2.0"
"25-290-01-00-0001-0212-000","LT 2 MZ E","2.0"
"25-290-01-00-0002-0001-000","K 12 0 11 15 19 N","2.0"
"25-290-01-00-0002-0002-000","C 1 12 14 20","2.0"
"25-290-01-00-0002-0003-000","C 1 12 26","2.0"
"25-290-01-00-0002-0004-000","C 1 12 28","2.0"
"25-290-01-00-0002-0005-000","C 1 12 36","2.0"
"25-290-01-00-0002-0006-000","C 1 12 44","2.0"
"25-290-01-00-0002-0007-000","C 1 12 55","2.0"
"25-290-01-00-0002-0008-000","C 1 12 68","2.0"
"25-290-01-00-0002-0009-000","C 1 12 74 72","2.0"
"25-290-01-00-0002-0010-000","C 1 12 78","2.0"
"25-290-01-00-0002-0011-000","K 13 0 20 N","2.0"
"25-290-01-00-0002-0012-000","CRA 13 No 1- NORTE 24","2.0"
"25-290-01-00-0002-0013-902","K 12 1 03 09 N Ap 101","2.0"
"25-290-01-00-0002-0014-000","C 1 12 56","2.0"
"25-290-01-00-0002-0016-000","K 12 1 36","2.0"
"25-290-01-00-0002-0017-000","CARRERA 12 No. 1 NORTE - 85","3.0"
"25-290-01-00-0002-0024-000","K 13 1 24 N","2.0"
"25-290-01-00-0002-0027-000","K 13 1A 32 A N","2.0"
"25-290-01-00-0002-0029-000","K 13 1 40 N","2.0"
"25-290-01-00-0002-0047-000","Lo No 4","2.0"
"25-290-01-00-0002-0050-000","K 12 0 35 N","3.0"
"25-290-01-00-0002-0051-000","K 13 1 06 N","2.0"
"25-290-01-00-0002-0052-000","K 13 1 45 N","2.0"
"25-290-01-00-0002-0063-901","K 12 1 29 31 N Ap 101","2.0"
"25-290-01-00-0002-0064-901","K 12 1 29 N Ap 201","2.0"
"25-290-01-00-0002-0065-902","K 12 1 07 N Ap 201","2.0"
"25-290-01-00-0002-0066-902","K 12 1 07 N Ap 202","2.0"
"25-290-01-00-0003-0001-000","K 12 1 14","3.0"
"25-290-01-00-0003-0002-000","C 1 11 48","2.0"
"25-290-01-00-0003-0003-000","CALLE 1 No. 1 - 44","2.0"
"25-290-01-00-0003-0004-000","C 1 11 34 36 38","2.0"
"25-290-01-00-0003-0005-000","C 1 11 00","3.0"
"25-290-01-00-0003-0006-000","K 10 1 15 N","2.0"
"25-290-01-00-0003-0007-000","T 11 1C 11 N","2.0"
"25-290-01-00-0003-0008-000","T 11 1 37","3.0"
"25-290-01-00-0003-0011-901","K 12 1 60 Ap. 101 Bq.1","3.0"
"25-290-01-00-0003-0012-000","T 11 0 133 N","2.0"
"25-290-01-00-0003-0013-000","T 11 0 129","2.0"
"25-290-01-00-0003-0014-000","T 11 1 55 N","3.0"
"25-290-01-00-0003-0016-000","C 1 11 60 68","2.0"
"25-290-01-00-0003-0017-000","Lo No 0","3.0"
"25-290-01-00-0003-0018-000","CRA 12 No 1 - 22","2.0"
"25-290-01-00-0003-0019-000","V 1 1 45 N","2.0"
"25-290-01-00-0003-0020-000","LT 3","3.0"
"25-290-01-00-0003-0021-000","K 12 1 40 Lo 2","2.0"
"25-290-01-00-0003-0022-000","Lo No 0","2.0"
"25-290-01-00-0003-0023-000","Lo No 0","3.0"
"25-290-01-00-0003-0025-000","TV 11 No. 1 F NORTE -19","2.0"
"25-290-01-00-0003-0026-000","TRANSV 11 NO. 1 A NORTE - 17","3.0"
"25-290-01-00-0003-0027-901","K 12 1N 58 Ap 201 Bq 1","3.0"
"25-290-01-00-0003-0028-901","K 12 1 58 N Ap 301 Bq 1","3.0"
"25-290-01-00-0003-0029-901","K 12 1 66 N Ap 101 Bq 2","3.0"
"25-290-01-00-0003-0030-901","K 12 1 68 N Ap 201 Bq 2","3.0"
"25-290-01-00-0003-0031-901","K 12 1 68 N Ap 301 Bq 2","3.0"
"25-290-01-00-0004-0001-000","C 2 12A 46","2.0"
"25-290-01-00-0004-0002-000","K 13 1 86","2.0"
"25-290-01-00-0004-0003-000","K 13 1 66","2.0"
"25-290-01-00-0004-0004-000","K 13 1 60","2.0"
"25-290-01-00-0004-0005-000","C 13 1 58","2.0"
"25-290-01-00-0004-0006-000","K 13 1 54","2.0"
"25-290-01-00-0004-0007-000","K 12A 1 43","2.0"
"25-290-01-00-0004-0008-000","K 13 1 36 38 42","2.0"
"25-290-01-00-0004-0009-000","K 13 1 32","2.0"
"25-290-01-00-0004-0010-000","K 13 1 28","2.0"
"25-290-01-00-0004-0011-000","K 13 1 22","2.0"
"25-290-01-00-0004-0012-000","K 13 1 12","2.0"
"25-290-01-00-0004-0013-000","K 13 1 04","2.0"
"25-290-01-00-0004-0014-000","C 1 12 71 73","2.0"
"25-290-01-00-0004-0015-000","C 1 12 69","2.0"
"25-290-01-00-0004-0016-000","C 1 12 57","2.0"
"25-290-01-00-0004-0017-000","C 1 12 47","2.0"
"25-290-01-00-0004-0018-000","C 1 12 43","2.0"
"25-290-01-00-0004-0019-000","C 1 12 37","2.0"
"25-290-01-00-0004-0020-000","C 1 12 25","2.0"
"25-290-01-00-0004-0021-901","C 1 12 19 Ap 201","2.0"
"25-290-01-00-0004-0022-000","CRA 12 N° 00 NORTE -59","3.0"
"25-290-01-00-0004-0023-000","K 12 1 15 19","2.0"
"25-290-01-00-0004-0024-000","K 12A 1 56","2.0"
"25-290-01-00-0004-0025-000","K 12 1 43","2.0"
"25-290-01-00-0004-0026-000","K 12 1 73","2.0"
"25-290-01-00-0004-0027-000","K 12 1 95","2.0"
"25-290-01-00-0004-0028-000","C 2 12 08","2.0"
"25-290-01-00-0004-0029-000","C 2 12 16","2.0"
"25-290-01-00-0004-0030-000","K 12A 1 82","3.0"
"25-290-01-00-0004-0031-000","K 12A 1 64","2.0"
"25-290-01-00-0004-0032-000","C 2 12A 04 K 12A 11 87","2.0"
"25-290-01-00-0004-0033-000","K 12A 1 73","2.0"
"25-290-01-00-0004-0034-000","K 12A 1 63","2.0"
"25-290-01-00-0004-0035-000","K 12A 1 57","2.0"
"25-290-01-00-0004-0036-000","C 2 12A 10","2.0"
"25-290-01-00-0004-0037-000","D 1 12A 20","2.0"
"25-290-01-00-0004-0038-000","CLL 1 No. 12 A-28","3.0"
"25-290-01-00-0004-0039-000","K 12 1 21","2.0"
"25-290-01-00-0004-0040-000","K 12 1 33 37","2.0"
"25-290-01-00-0004-0041-000","K 12 1 31","2.0"
"25-290-01-00-0004-0042-000","K 12A 1 42","2.0"
"25-290-01-00-0004-0043-000","K 12A 1 34","2.0"
"25-290-01-00-0004-0044-000","K 12A 1 56","2.0"
"25-290-01-00-0004-0045-000","C 1 12 09","2.0"
"25-290-01-00-0004-0046-000","K 13 1 36","2.0"
"25-290-01-00-0004-0047-000","K 13 1 36 In 1","2.0"
"25-290-01-00-0004-0049-901","C 1 12 21 Ap 101","2.0"
"25-290-01-00-0004-0050-000","K 12A 0 03","2.0"
"25-290-01-00-0005-0001-901","C 2 11A 30 K 12 1 60 Ap 101","2.0"
"25-290-01-00-0005-0002-000","CLL 1 N° 11 A -20","3.0"
"25-290-01-00-0005-0003-000","K 12 1 46","2.0"
"25-290-01-00-0005-0004-000","K 12 1 68","2.0"
"25-290-01-00-0005-0005-000","K 12 1 30","2.0"
"25-290-01-00-0005-0006-000","K 12 1 20","2.0"
"25-290-01-00-0005-0007-000","K 12 1 12","2.0"
"25-290-01-00-0005-0008-000","K 12 1 04 C 1 11A 59 71","2.0"
"25-290-01-00-0005-0009-000","C 1 11A 53","2.0"
"25-290-01-00-0005-0010-000","C 1 11A 47","2.0"
"25-290-01-00-0005-0011-000","C 2 1 35","2.0"
"25-290-01-00-0005-0012-000","C 1 11A 13","2.0"
"25-290-01-00-0005-0013-000","C 2 11A 14","2.0"
"25-290-01-00-0005-0014-000","K 11A 1 63 C 2 11A 02","2.0"
"25-290-01-00-0005-0015-000","K 11A 1 45","2.0"
"25-290-01-00-0005-0016-000","K 11A 1 75 77","2.0"
"25-290-01-00-0005-0017-000","K 11A 1 33","2.0"
"25-290-01-00-0005-0018-000","K 11A 1 36","2.0"
"25-290-01-00-0005-0019-000","C 11A 1 44","2.0"
"25-290-01-00-0005-0020-000","CLL 1 No. 11-32","2.0"
"25-290-01-00-0005-0021-000","C 2 11 14","2.0"
"25-290-01-00-0005-0023-000","C 2 11 08","2.0"
"25-290-01-00-0005-0024-000","C 2 10 50","2.0"
"25-290-01-00-0005-0026-000","C 2 10 32","2.0"
"25-290-01-00-0005-0027-000","C 2 10 26","2.0"
"25-290-01-00-0005-0028-000","C 2 10 22","2.0"
"25-290-01-00-0005-0029-000","D 2 10 07","2.0"
"25-290-01-00-0005-0031-000","D 2 10 63 71","2.0"
"25-290-01-00-0005-0032-000","D 2 10 53","2.0"
"25-290-01-00-0005-0033-000","D 2 10 43","2.0"
"25-290-01-00-0005-0034-000","D 2 10 35","2.0"
"25-290-01-00-0005-0035-000","C 1 10 13 N","2.0"
"25-290-01-00-0005-0036-000","D 2 10 27","2.0"
"25-290-01-00-0005-0037-000","K 11A 1 21","2.0"
"25-290-01-00-0005-0038-000","C 1 11 21","2.0"
"25-290-01-00-0005-0039-000","C 1 11A 05","2.0"
"25-290-01-00-0005-0040-000","C 2 10 38 42","2.0"
"25-290-01-00-0005-0041-000","C 1 11A 41","2.0"
"25-290-01-00-0005-0042-000","C 2 10A 10 12","2.0"
"25-290-01-00-0005-0043-000","C 2 10A 14","2.0"
"25-290-01-00-0005-0044-000","CLL 2 No. 10 A - 24","2.0"
"25-290-01-00-0005-0045-000","C 2 10 10","2.0"
"25-290-01-00-0005-0047-000","C 2 11 04","2.0"
"25-290-01-00-0005-0048-000","C 2 10A 46 48","2.0"
"25-290-01-00-0005-0051-000","C 1 10 75","2.0"
"25-290-01-00-0005-0053-000","C 1 10 77","2.0"
"25-290-01-00-0005-0054-901","C 2 11A 24 Ap 201","2.0"
"25-290-01-00-0005-0055-000","C 2 10A 44","2.0"
"25-290-01-00-0006-0002-000","K 13 1 33","2.0"
"25-290-01-00-0006-0003-000","CARRERA 13 No 1-27","2.0"
"25-290-01-00-0006-0004-000","K 13 2 17","2.0"
"25-290-01-00-0006-0005-000","Lo No 1","3.0"
"25-290-01-00-0006-0006-000","Lo No 3","2.0"
"25-290-01-00-0006-0007-000","Lo No 2","2.0"
"25-290-01-00-0007-0002-000","K 13 2 32","2.0"
"25-290-01-00-0007-0003-000","K 13 2 24","2.0"
"25-290-01-00-0007-0004-000","K 13 2 23","2.0"
"25-290-01-00-0007-0005-000","K 13 2 04","2.0"
"25-290-01-00-0007-0006-000","C 2 12 45","2.0"
"25-290-01-00-0007-0007-000","CLL 22 No. 12 31/35","3.0"
"25-290-01-00-0007-0008-000","C 2 12 27","3.0"
"25-290-01-00-0007-0009-000","C 2 12 13 21","2.0"
"25-290-01-00-0007-0010-000","K 12 2 16","2.0"
"25-290-01-00-0007-0011-000","K 12 2 24 28","2.0"
"25-290-01-00-0007-0012-000","K 12 2 37 39","2.0"
"25-290-01-00-0007-0013-000","K 12 2 64","2.0"
"25-290-01-00-0007-0014-000","C 3 12 10","2.0"
"25-290-01-00-0007-0015-000","K 12 2 21","2.0"
"25-290-01-00-0007-0016-000","K 13 2 40","2.0"
"25-290-01-00-0007-0017-000","K 12 2 51","2.0"
"25-290-01-00-0007-0018-000","K 12 1 09 D 1 12 13","2.0"
"25-290-01-00-0007-0019-901","C 3 12 22 Cs 1","2.0"
"25-290-01-00-0007-0020-901","C 3 12 22 Cs 2","2.0"
"25-290-01-00-0008-0001-000","C 2 11 13","2.0"
"25-290-01-00-0008-0002-000","C 2 11 05","2.0"
"25-290-01-00-0008-0003-000","K 11 2 15","2.0"
"25-290-01-00-0008-0004-000","K 11 2 23","2.0"
"25-290-01-00-0008-0005-000","K 11 2 29","2.0"
"25-290-01-00-0008-0006-000","K 11 2 39","3.0"
"25-290-01-00-0008-0007-000","K 11 2 45 47","2.0"
"25-290-01-00-0008-0008-000","C 3 11 16","2.0"
"25-290-01-00-0008-0009-000","C 2 11 25","2.0"
"25-290-01-00-0008-0010-000","C 2 11 33","2.0"
