"departamento_prestacion","municipio_prestacion","servicio","estado","nombre","nit","departamento_domicilio","municipio_domicilio","direccion","telefono","email","tipo_inscripcion","representante_legal","tipo_prestador","clasificacion"
"CALDAS","RIOSUCIO","ASEO","OPERATIVA","EMPRESA MUNICIPAL DE SERVICIOS DE ASEO DE RIOSUCIO - CALDAS","890801631-4","CALDAS","RIOSUCIO","CARRERA 7 CALLE 10 ESQUINA 1 PISO PALACIO MUNICIPAL","8592201","controlinterno@emsaesp.gov.co","Registro por la ESP","OLGA LUCIA CASTANO BENJUMEA","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","RISARALDA","ASEO","OPERATIVA","OFICINA DE DESARROLLO ECONOMICO Y SERVICIOS PUBLICOS DEL MUNICIPIO DE RISARALDA","800095461-1","CALDAS","RISARALDA","Carrera 2 Calle 5 Esquina","8557220","alcaldia@risaralda-caldas.gov.co","Registro por la ESP","JORGE DANILO GUTIERREZ  CUARTAS","MUNICIPIO (PRESTACIÓN DIRECTA)","HASTA 2500 SUSCRIPTORES"
"CALDAS","NEIRA","ASEO","OPERATIVA","AQUAMANA E.S.P.","810001898-1","CALDAS","VILLAMARIA","CALLE 9 Nº 4-29","8775141","aagcsis@gmail.com","Registro por la ESP","JUAN PABLO BUITRAGO QUICENO","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","DESDE 2501 HASTA 5000 USUARIOS"
"CALDAS","VILLAMARIA","ASEO","OPERATIVA","AQUAMANA E.S.P.","810001898-1","CALDAS","VILLAMARIA","CALLE 9 Nº 4-29","8775141","aagcsis@gmail.com","Registro por la ESP","JUAN PABLO BUITRAGO QUICENO","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","DESDE 2501 HASTA 5000 USUARIOS"
"CALDAS","VILLAMARIA","ACUEDUCTO","OPERATIVA","AQUAMANA E.S.P.","810001898-1","CALDAS","VILLAMARIA","CALLE 9 Nº 4-29","8775141","aagcsis@gmail.com","Registro por la ESP","JUAN PABLO BUITRAGO QUICENO","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","VILLAMARIA","ALCANTARILLADO","OPERATIVA","AQUAMANA E.S.P.","810001898-1","CALDAS","VILLAMARIA","CALLE 9 Nº 4-29","8775141","aagcsis@gmail.com","Registro por la ESP","JUAN PABLO BUITRAGO QUICENO","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MAYOR O IGUAL A 5001 USUARIOS"
"BOYACA","SOATA","ACUEDUCTO","OPERATIVA","EMPRESA DE SERVICIOS PÚBLICOS DE SOATA","800091634-0","BOYACA","SOATA","CARRERA 4 No 10-47 PALACIO MUNICIPAL","7880189","globalcys@gmail.com","Registro por la ESP","LIZETTE CAROLINA NINO DUENAS","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MENOR O IGUAL A 2500 USUARIOS"
"BOYACA","SOATA","ALCANTARILLADO","OPERATIVA","EMPRESA DE SERVICIOS PÚBLICOS DE SOATA","800091634-0","BOYACA","SOATA","CARRERA 4 No 10-47 PALACIO MUNICIPAL","7880189","globalcys@gmail.com","Registro por la ESP","LIZETTE CAROLINA NINO DUENAS","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MENOR O IGUAL A 2500 USUARIOS"
"BOYACA","SOATA","ASEO","OPERATIVA","EMPRESA DE SERVICIOS PÚBLICOS DE SOATA","800091634-0","BOYACA","SOATA","CARRERA 4 No 10-47 PALACIO MUNICIPAL","7880189","globalcys@gmail.com","Registro por la ESP","LIZETTE CAROLINA NINO DUENAS","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MENOR O IGUAL A 2500 USUARIOS"
"BOYACA","TASCO","ALCANTARILLADO","OPERATIVA","UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DE TASCO","891856131-3","BOYACA","TASCO","CARRERA 5 #5A-51 CENTRO PARQUE PRINCIPAL","7879090","maribelpulidoaponte@hotmail.com","Registro por la ESP","JUAN YESID CUSBA TIBADUIZA","MUNICIPIO (PRESTACIÓN DIRECTA)","MENOR O IGUAL A 2500 USUARIOS"
