"vigencia_proyecto","periodo","dependencia","proyecto","estado"
"2020","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2020 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Ejecución del Proyecto de Urbanismo Comunitario ""Barrios a la Obra"" - Etapa VI: Las obras están en ejecución. Barrios a la Obra Etapa VII: En Proceso de Contratación.","En Ejecución y en Proceso de Contratación."
"2020","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2020 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Plan Malla Vial (Calles Para La Prosperidad) - Reparcheo de vías.","En Proceso de Contratación."
"2020","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2020 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Plan Malla Vial (100% Porcentaje de avance en la formulación del Plan malla vial formulado).","Diseños y Estructuración en Ejecución."
"2020","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2020 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Mejoramiento de Viviendas.","En Proceso de Contratación."
"2020","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2020 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Drenaje Pluvial Efectivo (Proyecto Canalización del Arroyo y recuperación vial de la Calle 85).","En aprobación por parte de Oficina Nacional de Gestión del Riesgo"
"2020","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2020 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Construcción Del Gran Malecón Del Rio","En Ejecución"
"2020","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2020 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Supervisión de Obras del Modelo de Atención Reglamentado. Mejoramiento de la Infraestructura física y dotación Hospitalaria de Pasos y Caminos de la red pública Distrital.","En Ejecución"
"2020","Semestre I","OBRAS EN EJECUCIÓN VIGENCIA 2020 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Apoyo a la Supervisión de Obras y/o Proyectos en el Distrito de Barranquilla, Obras y/o Proyectos que pertenecen a otras Secretarías o Dependencias: Fabrica de la Cultura, Mercado Público, Caís, Construcción de un Centro de Vida Barrio Santuario, Ampliación de la Calle 30 entre Carrera 46 y Vía Circunvalar, Ampliación de la Vía Cordialidad entre Circunvalar y Carrera 23, Ampliación de la Vía Circunvalar entre Carrera 38 y Carrera 12A, Canalizaciones de Arroyos, entre Otros.","En Ejecución"
"2020","Semestre I","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI.","MEJORAMIENTO Y/O PAVIMENTACION DE LA VIA 40 ENTRE CALLE 85 Y 110.","En Ejecución (Avance 100%)."
"2020","Semestre I","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI.","CONSTRUCCION Y/O AMPLIACION DE LA VIA LA CORDIALIDAD","En Ejecución"
