"radicado","coddepto","departamento","codmun","municipio","sede_beneficiada","dane","total_terminales","nombre_elemento","a_o","estado","rural_urbana"
"6759","76","VALLE DEL CAUCA","76248","EL CERRITO","Ie Santa Elena-Centro Docente No 9 Gregoria Benavides","276248000304","2","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"10101","76","VALLE DEL CAUCA","76616","RIOFRIO","Ie Primitivo Crespo-Pedro Maria Marmolejo","176616000170","2","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"7949","76","VALLE DEL CAUCA","76233","DAGUA","Ie Borrero Ayerbe-Bellavista","276233001223","2","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"14084","76","VALLE DEL CAUCA","76130","CANDELARIA","I.E. Inmaculada Concepcion-Francisco Jose De Caldas","276130000156","4","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"35748","19","CAUCA","19418","LOPEZ","I.E. Dos Quebradas-Juan Nunez","219418000530","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"43512","54","NORTE DE SANTANDER","54206","CONVENCION","Cent Educ Rur La Trinidad-Sede Las Delicias","254206001056","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"17911","13","BOLIVAR","13244","EL CARMEN DE BOLIVAR","I.E.T.A. Geovanny Cristini Cristini-John F Kennedy","113244000320","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"41143","47","MAGDALENA","47189","CIENAGA","I.E. Enoc Mendoza-I.E. Enoc Mendoza - Sede Principal","147189004576","40","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"530","76","VALLE DEL CAUCA","76020","ALCALA","Ie Arturo Gomez Jaramillo-Simon Bolivar","276020000223","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"16955","41","HUILA","41548","PITAL","Ie Nuestra Sra Del  Socorro-Ntra. Sra. Del Socorro","241548000146","2","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"115","19","CAUCA","19418","LOPEZ","I.E. Pablo Vi-Pablo Vi (Sede Principal)","319418000011","23","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"8712","76","VALLE DEL CAUCA","76895","ZARZAL","Ie Antonio Nari�o-Antonio Nari�o","276895000044","3","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
"6645","13","BOLIVAR","13001","CARTAGENA","Institucion Educativa San Felipe Neri-Institucion Educativa San Felipe Neri","113001008284","1","Tableta","2019","Entrega","PENDIENTE CLASIFICAR"
