"identificador","titulo","descripci_n_de_contenido","idioma","medio_de_conservaci_n","formato","fecha_publicaci_n","url"
"340120101056878038000000000","Geología del Borde Occidental de la Plancha 146 Medellín Occidental. Departamento de Antioquia. Escala 1:50.000. Versión año 2020. Producto","Geología del Borde Occidental de la Plancha 146 Medellín Occidental. Departamento de Antioquia. Escala 1:50.000. Versión año 2020. Producto","ESPAÑOL","DIGITAL","PDF Y NATIVOS (SEGÚN DISPONIBILIDAD)","1983-09-30T00:00:00.000","https://miig.sgc.gov.co/Paginas/Resultados.aspx?k=110010101000001922000000000"
"340120101056948459000000000","Estudio Macrosísmico del Sismo de 17 de Febrero de 1807 en Tame, Arauca. Versión año 2015. Producto","Estudio Macrosísmico del Sismo de 17 de Febrero de 1807 en Tame, Arauca. Versión año 2015. Producto","ESPAÑOL","DIGITAL","PDF Y NATIVOS (SEGÚN DISPONIBILIDAD)","1985-10-01T00:00:00.000","https://miig.sgc.gov.co/Paginas/Resultados.aspx?k=110010101000001983000000000"
"340120101057018894000000000","Evaluación de la Fragilidad Física de Edificios de Instalaciones Educativas y de Salud Bajo Métodos Simplificados. Versión año 2020. Producto","Evaluación de la Fragilidad Física de Edificios de Instalaciones Educativas y de Salud Bajo Métodos Simplificados. Versión año 2020. Producto","ESPAÑOL","DIGITAL","PDF Y NATIVOS (SEGÚN DISPONIBILIDAD)","1987-04-01T00:00:00.000","https://miig.sgc.gov.co/Paginas/Resultados.aspx?k=110010101000002043000000000"
"340120101057089392000000000","Caracterización Geoquímica e Isotópica y la Determinación de Edades Radiométricas en el Sector Centro - Sur de Cauca - Romeral. Escala 1: 100.000. Versión año 2007.  Informe 3850. Producto","Caracterización Geoquímica e Isotópica y la Determinación de Edades Radiométricas en el Sector Centro - Sur de Cauca - Romeral. Escala 1: 100.000. Versión año 2007.  Informe 3850. Producto","ESPAÑOL","DIGITAL","PDF Y NATIVOS (SEGÚN DISPONIBILIDAD)","1995-09-12T00:00:00.000","https://miig.sgc.gov.co/Paginas/Resultados.aspx?k=110010101000002224000000000"
"340120101057159957000000000","Aspecto Geológico y Económico del Yacimiento de Carbón del Cerrejón. (Depto. Del Magdalena). Versión año 1947. Producto","Aspecto Geológico y Económico del Yacimiento de Carbón del Cerrejón. (Depto. Del Magdalena). Versión año 1947. Producto","ESPAÑOL","DIGITAL","PDF Y NATIVOS (SEGÚN DISPONIBILIDAD)","1996-05-01T00:00:00.000","https://miig.sgc.gov.co/Paginas/Resultados.aspx?k=110010101000002231000000000"
"340120101057301155000000000","Geología de Corredor vial Amaga - Bolombolo. Antioquia. Versión año 2020. Producto","Geología de Corredor vial Amaga - Bolombolo. Antioquia. Versión año 2020. Producto","ESPAÑOL","DIGITAL","PDF Y NATIVOS (SEGÚN DISPONIBILIDAD)","1996-11-01T00:00:00.000","https://miig.sgc.gov.co/Paginas/Resultados.aspx?k=110010101000002238000000000"
"340120101057301155000000002","Anexo 1. Localización de Estaciones de campo. Geologia del corredor cial Amaga- Bolombolo. Escala 1:50.000. Versión año 2020. Mapa","Anexo 1. Localización de Estaciones de campo. Geologia del corredor cial Amaga- Bolombolo. Escala 1:50.000. Versión año 2020. Mapa","ESPAÑOL","DIGITAL","PDF Y NATIVOS (SEGÚN DISPONIBILIDAD)","1996-12-20T00:00:00.000","https://miig.sgc.gov.co/Paginas/Resultados.aspx?k=110010101000002244000000000"
"340120101057371768000000000","Geología del Corredor vial Salamina - San Félix Caldas. Versión año 2020. Producto","Geología del Corredor vial Salamina - San Félix Caldas. Versión año 2020. Producto","ESPAÑOL","DIGITAL","PDF Y NATIVOS (SEGÚN DISPONIBILIDAD)","2001-06-01T00:00:00.000","https://miig.sgc.gov.co/Paginas/Resultados.aspx?k=110010101000002500000000000"
"340120101057442398000000000","Coordenadas Estaciones Geodésicas Geored 1.1 2019 – ITRF 2008. Proyecto Aplicaciones Geodésicas para Estudios Geodinámicos. Versión año 2020. Producto","Coordenadas Estaciones Geodésicas Geored 1.1 2019 – ITRF 2008. Proyecto Aplicaciones Geodésicas para Estudios Geodinámicos. Versión año 2020. Producto","ESPAÑOL","DIGITAL","PDF Y NATIVOS (SEGÚN DISPONIBILIDAD)","2002-06-30T00:00:00.000","https://miig.sgc.gov.co/Paginas/Resultados.aspx?k=110010101000002501000000000"
"340120101057513030000000000","Coordenadas Estaciones Geodésicas Geored 2.0 2019 – ITRF 2014. Proyecto Aplicaciones Geodésicas para Estudios Geodinámicos. Versión año 2020. Producto","Coordenadas Estaciones Geodésicas Geored 2.0 2019 – ITRF 2014. Proyecto Aplicaciones Geodésicas para Estudios Geodinámicos. Versión año 2020. Producto","ESPAÑOL","DIGITAL","PDF Y NATIVOS (SEGÚN DISPONIBILIDAD)","2002-06-30T00:00:00.000","https://miig.sgc.gov.co/Paginas/Resultados.aspx?k=110010101000002502000000000"
"340120101057583683000000000","Mapa de zonas con potencial Geoquímico de Colombia. Escala 1:1.750.000. Versión año 2009. Producto","Mapa de zonas con potencial Geoquímico de Colombia. Escala 1:1.750.000. Versión año 2009. Producto","ESPAÑOL","DIGITAL","PDF Y NATIVOS (SEGÚN DISPONIBILIDAD)","2001-01-01T00:00:00.000","https://miig.sgc.gov.co/Paginas/Resultados.aspx?k=110010101000002590000000000"
"340120101057654488000000000","Compilación de los Estudios Geológicos Oficiales en Colombia. Tomo XII. Versión año 1993. Producto","Compilación de los Estudios Geológicos Oficiales en Colombia. Tomo XII. Versión año 1993. Producto","ESPAÑOL","DIGITAL","PDF Y NATIVOS (SEGÚN DISPONIBILIDAD)","2000-12-01T00:00:00.000","https://miig.sgc.gov.co/Paginas/Resultados.aspx?k=110010101000002592000000000"
