"informacindelaentidad_departamento","uid"
"Amazonas","18"
"Antioquia","891"
"Arauca","29"
"Archipiélago de San Andrés, Providencia y Santa Catalina","14"
"Atlántico","161"
"Bogotá D.C.","1996"
"Bolívar","48"
"Boyacá","222"
"Caldas","179"
"Caquetá","26"
"Casanare","110"
"Cauca","174"
"Cesar","57"
"Chocó","15"
"Córdoba","29"
"Cundinamarca","333"
"Guainía","11"
"Guaviare","16"
"Huila","146"
"La Guajira","19"
"Magdalena","52"
"Meta","110"
"Nariño","65"
"Norte de Santander","109"
"Putumayo","20"
"Quindío","315"
"Risaralda","245"
"Santander","245"
"Sucre","57"
"Tolima","98"
"Valle del Cauca","410"
"Vaupés","3"
"Vichada","2"
