"fecha_corte","nom_rpt","cod_pais","pais","cod_estado_depto","estado_depto","param_hecho","hecho","sexo","etnia","discapacidad","ciclo_vital","per_ocu","per_decla","per_ubic","per_sa","eventos"
"2022/03/31 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","13","Bolivar","5","Desplazamiento forzado","Hombre","Gitano (RROM) (Acreditado RA)","Ninguna","entre 18 y 28","3","4","3","3","3"
"2022/02/28 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","20","Cesar","5","Desplazamiento forzado","Mujer","Raizal del Archipielago de San Andres y Providencia","Multiple","entre 61 y 100","1",,,,"1"
"2022/04/30 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","18","Caqueta","5","Desplazamiento forzado","Hombre","Gitano (RROM) (Acreditado RA)","Ninguna","entre 29 y 60","2",,,,"2"
"2022/05/31 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","95","Guaviare","5","Desplazamiento forzado","Hombre","Negro(a) o Afrocolombiano(a)","Fisica","entre 61 y 100","11","7","4","4","12"
"2022/04/30 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","18","Caqueta","2","Amenaza","Hombre","Indigena (Acreditado RA)","Por Establecer","entre 12 y 17","1","1","1","1","1"
"2022/01/31 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","19","Cauca","5","Desplazamiento forzado","Mujer","Indigena (Acreditado RA)","Auditiva","entre 61 y 100","57","53","43","36","71"
"2022/02/28 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","25","Cundinamarca","20","Sin informacion","Mujer","Indigena","Ninguna","entre 29 y 60","1",,"3","3","1"
"2022/03/31 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","99","Vichada","4","Desaparición forzada","No Informa","Ninguna","Ninguna","ND",,"1",,,
"2022/01/31 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","18","Caqueta","2","Amenaza","Hombre","Gitano(a) ROM","Por Establecer","entre 18 y 28","1","1",,,"2"
"2022/01/31 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","66","Risaralda","6","Homicidio","Hombre","Indigena","Fisica","entre 29 y 60","2","1","1","1","2"
"2022/05/31 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","44","La Guajira","5","Desplazamiento forzado","LGBTI","Ninguna","Multiple","entre 29 y 60",,"1",,,
"2022/02/28 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","19","Cauca","7","Minas Antipersonal, Munición sin Explotar y Artefacto Explosivo improvisado","Hombre","Indigena","Ninguna","entre 12 y 17","2","2","2","1","2"
"2022/03/31 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","18","Caqueta","20","Sin informacion","Hombre","Ninguna","Fisica","entre 29 y 60","2",,"3","3","2"
"2022/04/30 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","50","Meta","6","Homicidio","Mujer","Indigena","Ninguna","entre 61 y 100","27","28","30","26","30"
"2022/05/31 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","52","Nariño","2","Amenaza","Mujer","Indigena (Acreditado RA)","Ninguna","entre 18 y 28","321","260","242","241","364"
"2022/03/31 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","99","Vichada","5","Desplazamiento forzado","Hombre","Indigena (Acreditado RA)","Ninguna","entre 6 y 11","166","21","13","10","169"
"2022/02/28 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","17","Caldas","5","Desplazamiento forzado","Hombre","Ninguna","Psicosocial (Mental)","entre 12 y 17","1","1","3","3","1"
"2022/06/30 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","68","Santander","5","Desplazamiento forzado","Mujer","Ninguna","Intelectual","ND","1","3","1",,"1"
"2022/03/31 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","95","Guaviare","7","Minas Antipersonal, Munición sin Explotar y Artefacto Explosivo improvisado","Mujer","Ninguna","Ninguna","entre 18 y 28","6","3","2","2","6"
"2022/01/31 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","52","Nariño","6","Homicidio","Mujer","Palenquero","Ninguna","entre 18 y 28","1",,,,"1"
"2022/05/31 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","8","Atlantico","13","Lesiones Personales Fisicas","Hombre","Ninguna","Ninguna","entre 29 y 60","17","41","46","44","17"
"2022/05/31 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","18","Caqueta","13","Lesiones Personales Fisicas","Mujer","Ninguna","Ninguna","entre 12 y 17","3","1","1","1","3"
"2022/01/31 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","54","Norte De Santander","5","Desplazamiento forzado","Hombre","Negro(a) o Afrocolombiano(a)","Por Establecer","entre 61 y 100","17","8","7","7","23"
"2022/04/30 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","85","Casanare","2","Amenaza","Hombre","Indigena (Acreditado RA)","Ninguna","entre 12 y 17","2","4","1","1","2"
"2022/03/31 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","85","Casanare","6","Homicidio","No Informa","Ninguna","Ninguna","ND","1","1",,,"1"
"2022/05/31 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","85","Casanare","7","Minas Antipersonal, Munición sin Explotar y Artefacto Explosivo improvisado","Hombre","Indigena","Ninguna","entre 29 y 60",,,"1","1",
"2022/05/31 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","70","Sucre","5","Desplazamiento forzado","Hombre","Gitano(a) ROM","Ninguna","entre 61 y 100","6","3","5","4","6"
"2022/04/30 00:00:00.000000000","REPORTE VICTIMAS POR HECHO, CIFRA DEPARTAMENTAL (SEXO, ETNIA, DISCAPACIDAD, CICLO_VITAL) personas: (Ocurrencia, Declaración, Ubicación, Sujetos Atención y Eventos)","48","COLOMBIA","68","Santander","5","Desplazamiento forzado","Mujer","Ninguna","Ninguna","entre 12 y 17","9321","13710","12542","11304","9643"
