"a_employee_number","e_eeo_function","e_marital_status","e_gender","e_eeo_race","e_eeo_part_full_t","e_activity_status","e_inactive_date","e_terminated_code","e_terminated_date","a_bargain_primary","a_org_primary","a_project_primary","a_location_primary","a_location_p_desc","a_location_p_short","a_job_code_primary","a_job_class_descsh","a_job_class_desc","e_status","status_long_descriptor","e_hire_date","e_permanent_date","e_service_date","e_work_location","a_object_primary","e_orig_hire_date","e_adv_del","prem_white","prem_hawaiian","prem_black","prem_asian","prem_hispanic","prem_amerind"
"1","01","Single","Female","Black","F","Inactive","2019-02-02T00:00:00.000","100","2018-12-31T00:00:00.000","2000","01174015",,"17","FINANCE","FINANCE","2354","PYRL SUP","PAYROLL SUPERVISOR","1","Full Time Permanent","2009-07-08T00:00:00.000","1995-11-13T00:00:00.000","1995-11-13T00:00:00.000","170","400002","1995-11-13T00:00:00.000","E","N","N","N","N","N","N"
"2","01","Married","Female","Black","F","Inactive","2020-01-10T00:00:00.000","100","2019-12-31T00:00:00.000","2000","01191021",,"19","POLICE","POLICE","2465","SR ACCNT","SENIOR ACCOUNTANT","1","Full Time Permanent","2015-03-16T00:00:00.000","2015-09-16T00:00:00.000","2000-12-11T00:00:00.000","190","400002","1998-09-14T00:00:00.000","E","N","N","Y","N","N","N"
"7","01","Widowed","Male","Black","F","Active",,,,"6000","01115011",,"11","CITY COUNCIL","CITY CNCL","6000","COUNCILMBR","COUNCILMEMBER","1","Full Time Permanent","2019-01-09T00:00:00.000","1995-11-20T00:00:00.000","1995-11-20T00:00:00.000","110","400007","1995-11-20T00:00:00.000","E","N","N","Y","N","N","N"
"10","01","Married","Male","Caucasian","F","Active",,,,"6000","01115011",,"10","MAYOR","MAYOR","6005","MAYOR","MAYOR","1","Full Time Permanent","2015-01-14T00:00:00.000","1995-11-20T00:00:00.000","1995-11-20T00:00:00.000","100","400007","1995-11-20T00:00:00.000","E","Y","N","N","N","N","N"
"13","01","Single","Male","Hispanic","F","Inactive","2009-01-21T00:00:00.000",,"2009-01-13T00:00:00.000","6000","01115011",,"11","CITY COUNCIL","CITY CNCL","6000","COUNCILMBR","COUNCILMEMBER","1","Full Time Permanent","2005-01-12T00:00:00.000","1993-11-16T00:00:00.000","2005-01-12T00:00:00.000","110","400007","1993-11-16T00:00:00.000",,"N","N","N","N","N","N"
"21","15","Single","Female","Black","F","Active",,,,"1000","01291031",,"23","PUBLIC WORKS DEPARTMENT","PW","1200","EXE SEC II","EXECUTIVE SECRETARY II","1","Full Time Permanent","2008-02-15T00:00:00.000","2009-02-15T00:00:00.000","2002-03-02T00:00:00.000","235","400003","2001-02-26T00:00:00.000","E","N","N","Y","N","N","N"
"22","15","Single","Male","Black","F","Active",,,,"1000","40864181",,"26","INFORMATION TECHNOLOGY","IT","1361","SR CTV P A","SENIOR CABLE TV PROD ASSISTANT","1","Full Time Permanent","1998-04-01T00:00:00.000","1995-05-17T00:00:00.000","1998-04-01T00:00:00.000","260","400003","1995-05-17T00:00:00.000","E","N","N","N","N","N","N"
"25","02","Married","Male","Hispanic","F","Inactive","2016-01-24T00:00:00.000","900","2016-01-25T00:00:00.000","1000","15398621",,"19","POLICE","POLICE","1307","MNT WKR I","MAINTENANCE WORKER I","1","Full Time Permanent","2007-08-13T00:00:00.000","2008-08-13T00:00:00.000","2007-08-13T00:00:00.000","190","400003","2002-07-01T00:00:00.000","E","N","N","N","N","N","N"
"26","05","Married","Female","Caucasian","F","Inactive","2016-12-30T00:00:00.000","100","2016-12-31T00:00:00.000","2000","01206022",,"20","FIRE","FIRE","2220","EMRG SVC M","EMERGENCY SERVICES MANAGER","1","Full Time Permanent","2003-04-07T00:00:00.000","1989-06-05T00:00:00.000","1989-06-05T00:00:00.000","200","400002","1989-06-05T00:00:00.000","E","N","N","N","N","N","N"
"30","15","Single","Female","Black","F","Active",,,,"2000","01115011",,"11","CITY COUNCIL","CITY CNCL","2466","SEN ADM AN","SENIOR ADMINISTRATIVE ANALYST","1","Full Time Permanent","2006-07-26T00:00:00.000","1995-09-05T00:00:00.000","1997-01-01T00:00:00.000","110","400002","1995-09-05T00:00:00.000","E","N","N","N","N","N","N"
"32","15","Married","Female","Caucasian","F","Inactive","2018-08-15T00:00:00.000","100","2018-08-16T00:00:00.000","2000","01131013",,"13","CITY MANAGER","CITY MGR","2250","EX ASST CM","EXECUTIVE ASST TO THE CITY MGR","1","Full Time Permanent","2006-07-26T00:00:00.000","1983-11-29T00:00:00.000","1983-11-29T00:00:00.000","130","400002","1983-11-29T00:00:00.000","E","N","N","N","N","N","N"
"34","03","Single","Male","Asian","F","Active",,,,"2000","40864181",,"26","INFORMATION TECHNOLOGY","IT","2096","CABL TV MG","CABLE TELEVISION MANAGER","1","Full Time Permanent","1999-09-24T00:00:00.000","1992-01-06T00:00:00.000","1992-01-06T00:00:00.000","260","400002","1992-01-06T00:00:00.000","E","N","N","N","N","N","N"
"35","03","Single","Female","Caucasian","F","Inactive","2011-12-29T00:00:00.000","100","2011-12-30T00:00:00.000","2000","40864181",,"26","INFORMATION TECHNOLOGY","IT","2095","CBL TV PG","CABLE TV PGMMING COORDINATOR","1","Full Time Permanent","1990-06-25T00:00:00.000","1989-11-24T00:00:00.000","1980-06-25T00:00:00.000","340","400002","1989-11-24T00:00:00.000",,"N","N","N","N","N","N"
