"id_entidad","nit","raz_n_social","municipio","departamento","direcci_n","c_digo_postal","tel_fono","fax","e_mail","p_gina_web","periodo"
"10200000","899999067:2","Contraloría General de la República","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CARRERAA 69 44 35","111071","091-5187000","091-5187000","cgr@contraloria.gov.co","http://www.contraloria.gov.co","2020-I"
"10400000","899999027:8","Departamento Administrativo Nacional de Estadística","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CARRERA 59 NO.26-70 INT 1 CAN","111321","091-5978300,","091-5978314","contacto@dane.gov.co","http://www.dane.gov.co","2020-I"
"10500000","899999011:0","Departamento Nacional de Planeación","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CALLE 26 NO. 13-19","111051","091-3815000","091-3815035","fsalamanca@dnp.gov.co","http://www.dnp.gov.co","2020-I"
"10600000","899999083:0","Departamento Administrativo de la Presidencia de la República","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","Calle 7 N°  6 - 54","111711","091-2427108","091-5604523","lmorales@presidencia.gov.co","http://www.presidencia.gov.co","2020-I"
"10800000","899999020:7","Departamento Administrativo de la Función Pública","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CARRERA 6 NO. 12-62, BOGOTÁ, D.C.","111711","091-7395656","091-7395657","nsiabato@funcionpublica.gov.co","http://www.funcionpublica.gov.co","2020-I"
"10900000","899999028:5","Ministerio de Agricultura y Desarrollo Rural","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","AV. JIMÉNEZ NO. 7A 17  EDIFICIO PEDRO A LÓPEZ","111711","091-2543300","091-2543300","atencionalciudadano@minagricultura.gov.co","http://www.minagricultura.gov.co","2020-I"
"11000000","899999053:1","Ministerio de Tecnologías de la Información y las Comunicaciones","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","EDIFICIO MURILLO TORO CARRERA 7 Y 8 CALLEL 12","111711","091-3442281,3442347","091-3442222","finanzas@mintic.gov.co","http://www.mintic.gov.co/","2020-I"
"11100000","899999003:1","Ministerio de Defensa Nacional","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CARRERA 54 NO. 26-25 CAN","111321","091-3150111","091-2660068","finanzas@mindefensa.gov.co","http://www.mindefensa.gov.co","2020-I"
"11300000","899999001:7","Ministerio de Educación Nacional","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CALLE 43 57-14","111321","091-2222800","091-2215951","marevalo@mineducacion.gov.co","http://www.mineducacion.gov.co","2020-I"
"11500000","899999090:2","Ministerio de Hacienda y Crédito Público","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CARRERA 8 NO.6C - 38 EDIFICIO SAN AGUSTÍN","111711","091-3811700,3812141,3812199","091-3812167","atencioncliente@minhacienda.gov.co","http://www.minhacienda.gov.co","2020-I"
"11700000","899999022:1","Ministerio de Minas y Energía","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CALLE 43  57 31 CAN","111321","091-2200300","091-2200311","menergia@minenergia.gov.co","http://www.minenergia.gov.co","2020-I"
"11800000","899999055:4","Ministerio de Transporte","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CALLE 24 # 62 - 49 PISO 9  CENTRO COMERCIAL GRAN ESTACIÓN II BOGOTÁ, D.C - COLOMBIA","111321","091-3240800","091-3241208","camortegui@mintransporte.gov.co","http://www.mintransporte.gov.co","2020-I"
"11900000","899999042:9","Ministerio de Relaciones Exteriores","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CALLE 10 5 51","111711","091-3814000","091-3814181","patricia.pineda@cancilleria.gov.co","http://www.cancilleria.gov.co","2020-I"
"12200000","899999119:7","Procuraduría General de la Nación","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CARRERA 5 N° 15-80","110321","091-5878750","091-5878750","mvalvuena@procuraduria.gov.co","http://www.procuraduria.gov.co","2020-I"
"12300000","800141397:5","Policía Nacional","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CARRERA 59 NO. 26-21 CAN 2 PISO","111321","091-3159481","091-3159398","diraf.contaduria-gene@policia.gov.co","http://www.policia.gov.co","2020-I"
"12400000","800093816:3","Consejo Superior de la Judicatura","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","AV CALLEL 72 # 7 - 96","111051","091-3127011,3463374,","091-3170446","info@cendoj.ramajudicial.gov.co","http://www.ramajudicial.gov.co/","2020-I"
"12700000","899999050:8","U.A.E. de Organizaciones Solidarias","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","Carrera 10 N° 15 - 22","110321","091-3275252","091-3275252","fmoreno@orgsolidarias.gov.co","http://www.orgsolidarias.gov.co","2020-I"
"12800000","800176089:2","Superintendencia de Industria y Comercio","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","Carrera  13 N° 27 - 00","110311","091-5870000","091-5870284","contactenos@sic.gov.co","http://www.sic.gov.co","2020-I"
"13000000","899999086:2","Superintendencia de Sociedades","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","AV DORADO 51-80","110111","091-2201000","091-2201000","webmaster@supersociedades.gov.co","http://www.suoersociedades.gov.co","2020-I"
"13200000","899999040:4","Registraduría Nacional del Estado Civil","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","AVENIDA CALLE 26 51 50","111321","091-2202880","091-2200867","cdelia@registraduria.gov.co","http://www.registraduria.gov.co","2020-I"
"13400000","890999057:6","Superintendencia Financiera de Colombia","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CALLE 7 4-49","111711","091-5940200","091-3361521","jhalarcon@superfinanciera.gov.co","http://www.superfinanciera.gov.co","2020-I"
"13700000","800152783:2","Fiscalía General de la Nación","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","AVENIDA CALLE 24 NO. 52-01","111321","091-5702000,5702020,4149000,12165","091-5702020,12028","marcela.yepes@fiscalia.gov.co","http://www.fiscalia.gov.co","2020-I"
"13900000","899999098:0","Cámara de Representantes","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CARRERA 7 Nº 8-68","111711","091-3823000","091-3823000","financiera@camara.gov.co","http://www.camara.gov.co","2020-I"
"14000000","899999103:1","Senado de la República","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CARRERA 7 # 8-68 EDIFICIO NUEVO","111711","091-3824362","091-3825308","direccion.administrativa@senado.gov.co","http://www.senado.gov.co","2020-I"
"14100000","830034348:5","Ministerio de la Cultura","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CARRERA 8 N° 8-03","111711","091-3424100","091-3421539","psanabria@mincultura.gov.co","http://www.mincultura.gov.co","2020-I"
"14300000","830125996:9","Agencia Nacional de Infraestructura","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","AV CALLE 26 59 51 TO 4 P 2","111321","091-4848860","091-4848860","nmaldonado@ani.gov.co","http://www.ani.gov.co","2020-I"
"14500000","830127607:8","U.A.E. Agencia Nacional de Hidrocarburos","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","AC 26 59 65 P 2 ED CAMARA COLOMBIANA DE INFRAESTRUCTURA","111321","091-5931717","091-5931718","participacionciudadana@anh.gov.co","http://www.anh.gov.co","2020-I"
"14600000","860530751:7","Fondo de Cobertura de Tasas - FOGAFIN","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CARRERA 7 35-40","110311","571-3394240","571-2858587","fogafin@fogafin.gov.co","http://www.fogafin.gov.co","2020-I"
"20100000","860041247:8","Instituto de Casas Fiscales del Ejército","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CARRERA 11 B NO. 104-48","110111","091-2152960,2154074,2147806,3789650","091-3789650","gledy.millan@icfe.gov.co","http://www.icfe.gov.co/","2020-I"
"20188000","827000481:1","Sociedad de Televisión de las Islas","SAN ANDRES","ARCHIPIELAGO DE SAN ANDRES","LA LOMA SHINGLE HILL","111321","094-5132799","094-5132047","info@teleislas.com.co","http://www.teleislas.com.co","2020-I"
"20615000","891800260:4","Colegio de Boyacá","TUNJA","DEPARTAMENTO DE BOYACA","Carrera 11  18 - 24","150001","098-7422212","098-7422212","contabilidad@colboy.edu.co","http://www.colboy.edu.co","2020-I"
"20752000","891222322:2","Corporación Autónoma Regional de Nariño","SAN JUAN DE PASTO","DEPARTAMENTO DE NARIÑO","CALLE 25 NO 7 ESTE 84 FINCA LOPE","150001","092-7309282,7309283,7309284","092-7309425","webmaster@corponarino.gov.co","http://www.corponarino.gov.co","2020-I"
"20854000","890505253:4","Corporación Autónoma Regional de la Frontera Nororiental","SAN JOSE DE CUCUTA","DEPARTAMENTO DE NORTE DE SANTANDER","Calle 13 Nº 3E - 278 Caobos","540001","097-5828484","097-5716219","avivas@corponor.gov.co","http://www.corponor.gov.co","2020-I"
"20900000","899999062:6","Corporación Autónoma Regional de Cundinamarca","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","Calle 24 # 62 - 49 Piso 6 - 7","540013","091-5801111","091-2873166","mmartinezp@car.gov.co","http://www.car.gov.co","2020-I"
"21017000","890803005:2","Corporación Autónoma Regional de Caldas","MANIZALES","DEPARTAMENTO DE CALDAS","CALLE 21 NO. 23-22 CENTRO EDIFICIO ATLAS PISO 1","170006","096-8841667","096-8838696","contabilidad@corpocaldas.gov.co","http://www.corpocaldas.gov.co","2020-I"
"21176000","890399002:7","Corporación Autónoma Regional del Valle del Cauca","SANTIAGO DE CALI","DEPARTAMENTO DE VALLE DEL CAUCA","CARRERA 56 NO. 11-36","760036","092-3181700,3396641,6206600","092-3310192","atencionalusuario@cvc.gov.co","http://www.cvc.gov.co","2020-I"
"21263000","890000447:8","Corporación Autónoma Regional del Quindío","ARMENIA","DEPARTAMENTO DE QUINDIO","CALLE 19 NORTE # 19-55","630003","096-7460634","096-7498021","crq@crq.gov.co","http://www.crq.gov.co/","2020-I"
"21368000","890201573:0","Corporación Autónoma Regional de Defensa de la Meseta de Bucaramanga","BUCARAMANGA","DEPARTAMENTO DE SANTANDER","CARRERA 23 NO. 37 - 63","680006","097-6346100","097-6346134","info@cdmb.gov.co","http://www.cdmb.gov.co","2020-I"
"21527000","899999238:5","Corporación Autónoma Regional para el Desarrollo Sostenible del Chocó","QUIBDO","DEPARTAMENTO DE CHOCO","CARRERAA 1A. NO. 22-96","270001","094-6709009","094-6711343","contacto@codechoco.gov.co","http://www.codechoco.gov.co","2020-I"
"21673000","890704536:7","Corporación Autónoma Regional del Tolima","IBAGUE","DEPARTAMENTO DE TOLIMA","CARRERA 5 AVENIDA DEL FERROCARRIL CALLE 44 ESQUINA","730001","098-2654555","098-2700120","contabilidad@cortolima.gov.co","http://www.cortolima.gov.co","2020-I"
"21705000","890907748:3","Corporación para el Desarrollo Sostenible de Urabá","APARTADO","DEPARTAMENTO DE ANTIOQUIA","CALLE92 98 39","057841","094-8281022,","094-8281001","corpouraba@corpouraba.gov.co","http://www.corpouraba.gov.co","2020-I"
"21805000","890985138:3","Corporación Autónoma Regional de las Cuencas de los ríos Rionegro y Nare","SANTUARIO (ANTIOQUIA)","DEPARTAMENTO DE ANTIOQUIA","CARRERA 59 44-48, KILÓMETRO 54 EL SANTUARIO, ANTIOQUIA","054450","094-5461616","094-5462000","cliente@cornare.gov.co","http://www.cornare.gov.co","2020-I"
"21900000","899999717:1","Defensa Civil Colombiana","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CALLE 52 No. 14-67","111311","091-3199000,141,137,","091-3199020","orientacionciudadana@defensacivil.gov.co","http://www.defensacivil.gov.co","2020-I"
"22000000","899999054:7","Escuela Superior de Administración Pública","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CALLE 44 # 53 - 37 CAN","111321","091-2224315","091-2224315","gchamorro@esap.edu.co","http://www.esap.edu.co","2020-I"
"22100000","899999059:3","U.A.E. de la Aeronáutica Civil","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","AV. CALLE 26 NO.103-15","110911","091-2963374","091-2963958","moralba.lopez@aerocivil.gov.co","http://www.aerocivil.gov.co","2020-I"
"22200000","899999296:2","Ministerio de Ciencia, Tecnología e Innovación","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","Av Calle 26 No. 57 - 83 Torre 8 pisos 2 al 6","110121","091-6258480","091-6251788","jdperdomo@minciencias.gov.co","http://www.minciencias.gov.co","2020-I"
"23100000","860020227:0","Fondo Rotario de la Policía Nacional","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","Carrera  66 A  No 43 - 18","111321","091-2207137","091-2207128","forpo@forpo.gov.co","http://www.forpo.gov.co","2020-I"
"23200000","800072977:0","Fondo Rotatorio del Departamento Administrativo Nacional de Estadística.","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","Carrera 59 N° 26-70 Interior 1- CAN","110311","091-5978300","091-5978358","dane@dane.gov.co","http://www.dane.gov.co","2020-I"
"23300000","899999162:4","Agencia Logística de las Fuerzas Militares","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CALLE 95 13-08","110221","091-6510420","091-6510420","angela.gonzalez@agencialogistica.gov.co","http://www.agencialogistica.gov.co/","2020-I"
"23500000","800215807:2","Instituto Nacional de Vías","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CALLE 25G NO. 73B-90 CENTRO EMPRESARIAL CENTRAL POINT","111321","091-3770600","091-3770600","atencionciudadano@invias.gov.co","http://www.invias.gov.co","2020-I"
"23700000","899999096:6","Instituto Caro y Cuervo","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","Calle  10 N.  4-69","111711","091-3422121","091-3422121","contabilidad@caroycuervo.gov.co","http://www.caroycuervo.gov.co","2020-I"
"23800000","899999069:7","Instituto Colombiano Agropecuario","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","Calle 26 No. 85b - 09","111611","091-3323700","091-3323700","contabilidad@ica.gov.co","http://www.ica.gov.co","2020-I"
"23900000","899999239:2","Instituto Colombiano de Bienestar Familiar","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","AVENIDA CARRERA 68 N° 64C-75","111061","091-4377630","091-4377630","jairo.cardona@icbf.gov.co","http://www.icbf.gov.co","2020-I"
"24300000","830067892:2","Instituto Colombiano de Antropología e Historia","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CALLE 12 # 2-38","111051","091-4440544","091-4440544","contactenos@icanh.gov.co","http://www.icanh.gov.co","2020-I"
"24666000","891480035:9","Universidad Tecnológica de Pereira","PEREIRA","DEPARTAMENTO DE RISARALDA","CARRERA 27 #10-02 LOS ÁLAMOS PEREIRA RISARALDA","660003","096-3212444,3215693,3213208","096-3213206","contactenos@utp.edu.co","http://www.utp.edu.co","2020-I"
"24800000","899999306:8","Ministerio del Deporte","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","AV 68 55 65","111221","091-4377030","091-2258765","lrojas@mindeporte.gov.co","http://www.mindeporte.gov.co","2020-I"
"25120000","892301483:2","Corporación Autónoma Regional del Cesar","VALLEDUPAR","DEPARTAMENTO DE CESAR","KM 2 VÍA LA PAZ. LOTE 1 U.I.C CASA E´ CAMPO. FRENTE A LA FERIA GANADERA","200001","095-5748960","095-5737181","contabilidad@corpocesar.gov","http://www.corpocesar.gov.co","2020-I"
"25200000","899999294:8","Servicio Geológico Colombiano","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","Diagonal 53 N° 34 - 53","111321","091-2200292","091-2200292","egutierrezb@sgc.gov.co","http://www.sgc.gov.co","2020-I"
"25300000","899999004:9","Instituto Geográfico Agustín Codazzi","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","CARRERA 30  NO. 48 - 51","111321","091-3694047","091-3694057","financiera@igac.gov.co","http://www.igav.gov.co","2020-I"
"25400000","899999092:7","E.S.E. Instituto Nacional de Cancerología","BOGOTA - DISTRITO CAPITAL","DISTRITO CAPITAL","Calle 1  9 - 85","111511","091-4320160","091-4320160","direccion@cancer.gov.co","http://www.cancer.gov.co","2020-I"
"25744000","892115314:9","Corporación Autónoma Regional de la Guajira","RIOHACHA","DEPARTAMENTO DE GUAJIRA","CARRERA  7  12  15","440001","095-7275125","095-7275125","direccion@corpoguajira.gov.co","http://www.corpoguajira.gov.co","2020-I"
